date,index,setup,direction,bias,gap_pct,signal_time,entry_time,entry_spot,sl_spot,tp_spot,sl_pts,lots,lot_size,quantity,exit_spot,gross_pnl,net_pnl,pnl_pct,exit_reason
2024-01-03,BANKNIFTY,VWAP,PUT,NEUTRAL,0.18,12:20:00,12:25:00,47598.95,47694.15,0.0,95.2,1,15,15,47694.6,-1419.75,-1531.29,-0.21,SL hit
2024-01-10,BANKNIFTY,VWAP,PUT,BEARISH,-0.333,12:40:00,12:45:00,47242.85,47337.34,0.0,94.49,1,15,15,47354.95,-1666.5,-1777.53,-0.25,SL hit
2024-01-11,BANKNIFTY,SMC,CALL,BULLISH,0.378,10:55:00,11:00:00,47500.1,47378.7,47742.9,121.4,1,15,15,47493.9,-108.0,-219.24,-0.03,NO_MOVE_TREND_LOST
2024-01-12,BANKNIFTY,SMC,PUT,NEUTRAL,0.267,12:50:00,12:55:00,47741.05,47781.05,47661.05,40.0,1,15,15,47765.9,-357.75,-469.4,-0.07,NO_MOVE_TREND_LOST
2024-01-16,BANKNIFTY,VWAP,PUT,NEUTRAL,-0.236,11:40:00,11:45:00,48198.95,48295.35,0.0,96.4,1,15,15,48301.15,-1518.0,-1630.45,-0.23,SL hit
2024-01-16,BANKNIFTY,VWAP,PUT,NEUTRAL,-0.236,12:05:00,12:10:00,48205.4,48301.81,0.0,96.41,1,15,15,48117.2,1338.0,1225.82,0.17,Hard close (15:15)
2024-01-17,BANKNIFTY,ORB,PUT,BEARISH,-3.196,11:40:00,11:45:00,46364.75,46504.35,45516.63,139.6,1,15,15,46050.9,4722.75,4613.67,0.66,Hard close (15:15)
2024-01-18,BANKNIFTY,ORB,CALL,BEARISH,-1.282,11:55:00,12:00:00,46012.6,45875.13,46414.2,137.47,1,15,15,45862.65,-2264.25,-2373.04,-0.34,SL hit
2024-01-19,BANKNIFTY,VWAP,PUT,BULLISH,0.746,11:05:00,11:10:00,45959.65,46051.57,0.0,91.92,1,15,15,45760.8,2997.75,2889.11,0.42,Trail SL
2024-01-20,BANKNIFTY,VWAP,CALL,BULLISH,0.554,12:55:00,13:00:00,46058.55,45966.43,0.0,92.12,1,15,15,46082.7,347.25,238.13,0.03,NO_MOVE_EXTENDED
2024-01-23,BANKNIFTY,ORB,PUT,BULLISH,0.839,10:35:00,10:40:00,45720.7,45859.33,45629.26,138.63,1,15,15,45576.0,2185.5,2077.14,0.3,TP hit
2024-01-23,BANKNIFTY,ORB,PUT,BULLISH,0.839,11:40:00,11:45:00,45342.05,45480.68,45251.37,138.63,1,15,15,45236.75,1594.5,1486.65,0.22,TP hit
2024-01-24,BANKNIFTY,VWAP,PUT,BEARISH,-1.149,11:20:00,11:25:00,45127.2,45217.45,0.0,90.25,1,15,15,44791.4,5052.0,4944.81,0.73,Trail SL
2024-01-29,BANKNIFTY,VWAP,PUT,BULLISH,0.407,11:20:00,11:25:00,45351.25,45441.95,0.0,90.7,1,15,15,45473.25,-1815.0,-1923.21,-0.28,SL hit
2024-01-31,BANKNIFTY,ORB,CALL,NEUTRAL,-0.053,10:30:00,10:35:00,46046.5,45910.1,46138.59,136.4,1,15,15,46157.1,1644.0,1534.77,0.22,TP hit
2024-02-01,BANKNIFTY,VWAP,PUT,BULLISH,0.415,11:15:00,11:20:00,45890.55,45982.33,0.0,91.78,1,15,15,46005.4,-1707.75,-1816.76,-0.26,SL hit
2024-02-02,BANKNIFTY,VWAP,PUT,BULLISH,0.782,12:25:00,12:30:00,46497.05,46590.04,0.0,92.99,1,15,15,45954.5,8153.25,8044.32,1.15,Hard close (15:15)
2024-02-05,BANKNIFTY,SMC,PUT,NEUTRAL,0.017,12:00:00,12:05:00,45880.45,46007.65,45626.05,127.2,1,15,15,46022.15,-2110.5,-2219.53,-0.32,SL hit
2024-02-06,BANKNIFTY,PDH_PDL,CALL,NEUTRAL,0.294,11:30:00,11:35:00,45749.3,45657.8,45840.8,91.5,1,15,15,45707.95,-635.25,-743.81,-0.11,NO_MOVE_TREND_LOST
2024-02-08,BANKNIFTY,PDH_PDL,PUT,NEUTRAL,0.125,10:40:00,10:45:00,45854.05,45946.18,45762.34,92.13,1,15,15,45631.2,3357.75,3249.3,0.47,TP hit
2024-02-08,BANKNIFTY,SMC,PUT,NEUTRAL,0.125,13:25:00,13:30:00,45514.1,45554.35,45433.6,40.25,1,15,15,45368.75,2195.25,2087.2,0.31,TP hit
2024-02-12,BANKNIFTY,ORB,PUT,NEUTRAL,-0.092,11:05:00,11:10:00,45323.95,45460.37,45061.88,136.42,1,15,15,45034.9,4350.75,4243.2,0.62,TP hit
2024-02-12,BANKNIFTY,SMC,CALL,NEUTRAL,-0.092,13:55:00,14:00:00,44749.75,44603.85,45041.55,145.9,1,15,15,44830.75,1200.0,1092.75,0.16,Hard close (15:15)
2024-02-13,BANKNIFTY,ORB,CALL,BULLISH,0.377,11:15:00,11:20:00,45316.7,45181.15,45728.17,135.55,1,15,15,45134.95,-2741.25,-2848.95,-0.42,SL hit
