date,index,setup,direction,bias,gap_pct,signal_time,entry_time,entry_spot,sl_spot,tp_spot,sl_pts,lots,lot_size,quantity,exit_spot,gross_pnl,net_pnl,pnl_pct,exit_reason
2024-01-05,NIFTY,VWAP,PUT,NEUTRAL,0.167,10:40:00,10:45:00,21705.35,21748.76,0.0,43.41,1,50,50,21687.7,932.5,784.06,0.07,NO_MOVE_EXTENDED
2024-01-08,NIFTY,ORB,PUT,NEUTRAL,0.175,11:05:00,11:10:00,21615.5,21680.47,21492.08,64.97,1,50,50,21607.45,452.5,304.47,0.03,NO_MOVE_EXTENDED
2024-01-18,NIFTY,ORB,CALL,BEARISH,-0.756,11:55:00,12:00:00,21510.8,21446.38,21635.95,64.42,1,50,50,21443.35,-3422.5,-3569.71,-0.33,SL hit
2024-01-24,NIFTY,ORB,CALL,NEUTRAL,-0.272,11:20:00,11:25:00,21350.9,21287.04,21507.95,63.86,1,50,50,21263.85,-4402.5,-4548.82,-0.43,SL hit
2024-01-25,NIFTY,VWAP,CALL,NEUTRAL,-0.028,11:35:00,11:40:00,21346.85,21304.16,0.0,42.69,1,50,50,21298.25,-2480.0,-2626.49,-0.25,SL hit
2024-01-29,NIFTY,ORB,CALL,NEUTRAL,0.292,10:35:00,10:40:00,21609.5,21544.81,21762.1,64.69,1,50,50,21752.65,7107.5,6958.74,0.64,Hard close (15:15)
2024-01-30,NIFTY,VWAP,CALL,NEUTRAL,0.142,11:55:00,12:00:00,21731.4,21687.94,0.0,43.46,1,50,50,21683.1,-2465.0,-2613.41,-0.24,SL hit
2024-01-31,NIFTY,ORB,CALL,NEUTRAL,-0.201,10:30:00,10:35:00,21628.25,21563.5,21786.22,64.75,1,50,50,21726.2,4847.5,4698.87,0.43,Hard close (15:15)
2024-02-01,NIFTY,VWAP,PUT,BULLISH,0.333,11:15:00,11:20:00,21720.95,21764.39,0.0,43.44,1,50,50,21700.9,1052.5,904.0,0.08,Hard close (15:15)
2024-02-02,NIFTY,ORB,CALL,BULLISH,0.565,11:10:00,11:15:00,21986.85,21920.96,22190.62,65.89,1,50,50,21884.95,-5145.0,-5294.42,-0.48,SL hit
2024-02-05,NIFTY,VWAP,PUT,BULLISH,0.31,13:25:00,13:30:00,21906.3,21950.11,0.0,43.81,1,50,50,21812.2,4755.0,4605.94,0.42,Trail SL
2024-02-07,NIFTY,ORB,PUT,BULLISH,0.484,11:30:00,11:35:00,21887.75,21953.65,21832.67,65.9,1,50,50,21924.4,-1782.5,-1932.12,-0.18,NO_MOVE_TREND_LOST
2024-02-07,NIFTY,PDH_PDL,PUT,BULLISH,0.484,13:45:00,13:50:00,21910.45,21954.35,21866.63,43.9,1,50,50,21962.2,-2537.5,-2687.31,-0.25,SL hit
2024-02-09,NIFTY,ORB,PUT,NEUTRAL,-0.15,11:00:00,11:05:00,21636.0,21700.99,21490.38,64.99,1,50,50,21703.1,-3305.0,-3453.51,-0.32,SL hit
2024-02-12,NIFTY,ORB,PUT,NEUTRAL,0.068,11:05:00,11:10:00,21707.3,21772.52,21598.45,65.22,1,50,50,21595.8,5625.0,5477.02,0.5,TP hit
2024-02-13,NIFTY,ORB,CALL,NEUTRAL,0.239,10:50:00,10:55:00,21738.15,21673.12,21880.1,65.03,1,50,50,21646.9,-4612.5,-4760.73,-0.44,SL hit
2024-02-15,NIFTY,PDH_PDL,PUT,NEUTRAL,0.265,10:55:00,11:00:00,21848.65,21892.39,21804.95,43.74,1,50,50,21863.25,-680.0,-829.31,-0.08,NO_MOVE_EXTENDED
2024-02-21,NIFTY,PDH_PDL,PUT,NEUTRAL,0.183,10:10:00,10:15:00,22213.7,22258.13,22169.27,44.43,1,50,50,22205.9,440.0,288.97,0.03,NO_MOVE_EXTENDED
2024-02-22,NIFTY,ORB,PUT,NEUTRAL,0.24,10:55:00,11:00:00,21898.6,21964.49,21769.92,65.89,1,50,50,21969.85,-3512.5,-3662.35,-0.33,SL hit
2024-02-23,NIFTY,PDH_PDL,PUT,BULLISH,0.329,10:20:00,10:25:00,22237.9,22282.41,22193.42,44.51,1,50,50,22254.7,-790.0,-941.27,-0.08,NO_MOVE_TREND_LOST
2024-02-23,NIFTY,VWAP,PUT,BULLISH,0.329,13:20:00,13:25:00,22231.3,22275.76,0.0,44.46,1,50,50,22246.25,-697.5,-848.73,-0.08,NO_MOVE_EXTENDED
2024-03-01,NIFTY,ORB,CALL,BULLISH,0.557,11:35:00,11:40:00,22286.4,22219.9,22347.5,66.5,1,50,50,22306.25,942.5,790.97,0.07,NO_MOVE_EXTENDED
