date,index,direction,source,or_high,or_low,or_range_pct,watch_time,entry_time,entry_mode,adx,trend,entry_spot,sl_spot,tp_spot,entry_premium,exit_premium,lots,lot_size,quantity,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-01-18,BANKNIFTY,PUT,EMA_BOUNCE,45824.1,45430.7,0.008659342691175824,12:30:00,12:45:00,EMA_BOUNCE,71.73,BEAR,45766.55,46136.7,45026.25,352.07,352.18,1,15,15,-58.39,-99.96,-1.89,No-run exit,6
2024-01-19,BANKNIFTY,PUT,EMA_BOUNCE,46160.9,46026.15,0.0029276835016615555,11:00:00,11:40:00,EMA_BOUNCE,38.11,BEAR,45981.3,46162.75,45618.4,322.9,345.03,1,15,15,271.97,230.42,4.76,No-run exit,5
2024-01-20,BANKNIFTY,PUT,EMA_BOUNCE,46069.0,45895.1,0.0037890755222235372,12:30:00,13:00:00,EMA_BOUNCE,33.47,BEAR,46017.75,46109.79,45843.25,289.04,232.34,2,15,30,-1820.87,-1862.94,-21.48,SL hit,4
2024-01-24,BANKNIFTY,PUT,EMA_BOUNCE,44928.95,44489.4,0.00987988149986279,11:15:00,11:45:00,EMA_BOUNCE,52.68,BEAR,44956.05,45323.75,44220.65,373.54,397.64,1,15,15,301.52,259.74,4.64,No-run exit,7
2024-02-07,BANKNIFTY,PUT,ORB,46062.85,45921.25,0.003083539755559758,11:15:00,11:30:00,MOMENTUM,16.76,NEUTRAL,45699.1,45967.17,45486.7,379.72,360.4,1,15,15,-349.84,-391.45,-6.87,No-run exit,7
2024-02-09,BANKNIFTY,PUT,EMA_BOUNCE,45153.4,44859.15,0.006559419873091665,10:15:00,10:55:00,EMA_BOUNCE,33.91,BEAR,45201.55,45349.95,44904.75,317.43,314.08,1,15,15,-110.27,-151.67,-3.19,No-run exit,5
2024-02-13,BANKNIFTY,PUT,EMA_BOUNCE,45074.15,44840.6,0.0052084494855109634,12:00:00,12:20:00,EMA_BOUNCE,38.17,BEAR,45068.2,45281.65,44641.3,141.54,37.96,1,15,15,-1613.63,-1653.79,-77.89,SL hit (theta),1
2024-02-21,BANKNIFTY,CALL,EMA_BOUNCE,47363.4,47114.0,0.005293543320456795,11:30:00,12:15:00,EMA_BOUNCE,31.79,BULL,47159.25,47016.15,47445.45,391.85,402.39,1,15,15,98.07,56.27,0.96,No-run exit,7
2024-02-27,BANKNIFTY,PUT,EMA_BOUNCE,46569.3,46427.65,0.003050983627213556,10:00:00,10:20:00,EMA_BOUNCE,39.63,BEAR,46358.2,46555.9,45962.8,145.59,87.74,1,15,15,-927.81,-968.19,-44.33,SL hit (theta),1
2024-03-04,BANKNIFTY,CALL,EMA_BOUNCE,47461.15,47306.85,0.003261684090147683,11:00:00,11:20:00,EMA_BOUNCE,54.99,BULL,47319.8,47191.65,47576.1,210.17,194.31,1,15,15,-297.91,-338.78,-10.75,No-run exit,2
2024-03-12,BANKNIFTY,PUT,EMA_BOUNCE,47382.4,47209.75,0.003657083547360481,10:30:00,10:45:00,EMA_BOUNCE,50.04,BEAR,47058.8,47715.95,45744.5,147.79,65.86,1,15,15,-1288.96,-1329.25,-59.96,SL hit (theta),1
2024-03-14,BANKNIFTY,PUT,EMA_BOUNCE,46856.85,46565.55,0.006255697613364292,12:30:00,12:45:00,EMA_BOUNCE,22.64,BEAR,46943.95,47192.1,46447.65,361.13,348.4,1,15,15,-250.88,-292.44,-5.4,No-run exit,6
2024-03-20,BANKNIFTY,PUT,ORB,46523.35,46328.8,0.004199331733176677,10:00:00,10:20:00,MOMENTUM,18.35,BEAR,46116.5,46375.13,45824.68,383.19,388.01,1,15,15,12.24,-29.5,-0.51,No-run exit,7
2024-04-09,BANKNIFTY,CALL,ORB,48812.15,48621.85,0.003913878225530351,10:30:00,10:50:00,MOMENTUM,34.58,BULL,48892.8,48763.34,49178.25,153.55,165.59,1,15,15,120.64,79.9,3.47,No-run exit,1
2024-05-10,BANKNIFTY,PUT,EMA_BOUNCE,47620.1,47362.7,0.005434656385721284,10:15:00,10:45:00,EMA_BOUNCE,23.83,BEAR,47652.55,47824.6,47308.45,334.64,314.22,1,15,15,-366.3,-407.7,-8.12,No-run exit,5
2024-05-13,BANKNIFTY,PUT,EMA_BOUNCE,47508.55,47237.05,0.005747607016102826,13:15:00,13:30:00,EMA_BOUNCE,24.4,BEAR,47177.6,47494.3,46544.2,209.53,121.88,1,15,15,-1374.75,-1415.29,-45.03,SL hit (theta),2
2024-05-27,BANKNIFTY,CALL,ORB,49219.0,49051.25,0.003419892459417446,12:15:00,12:30:00,MOMENTUM,48.2,BULL,49666.2,49169.78,49917.82,220.59,124.25,1,15,15,-1505.06,-1545.61,-46.71,SL hit (theta),2
2024-05-30,BANKNIFTY,PUT,EMA_BOUNCE,48849.2,48313.6,0.011085905417936122,10:00:00,10:25:00,EMA_BOUNCE,56.97,BEAR,48711.35,48808.77,48548.65,374.72,377.37,2,15,30,-40.52,-83.9,-0.75,No-run exit,6
2024-06-06,BANKNIFTY,CALL,EMA_BOUNCE,49438.55,49063.75,0.007639041043540351,13:15:00,13:35:00,EMA_BOUNCE,24.63,BULL,49274.4,49024.35,49774.5,379.05,231.23,1,15,15,-2277.28,-2318.31,-40.77,SL hit (theta),6
2024-06-11,BANKNIFTY,CALL,ORB,49766.9,49530.45,0.0047738310473659,11:30:00,11:50:00,RETEST,20.75,NEUTRAL,49825.55,49717.13,50180.23,156.48,158.21,2,15,30,-68.2,-109.61,-2.33,No-run exit,1
2024-06-18,BANKNIFTY,CALL,ORB,50204.75,49900.2,0.006103181951174603,11:15:00,11:30:00,RETEST,22.34,NEUTRAL,50288.45,50154.55,50745.28,157.93,163.16,1,15,15,18.45,-22.27,-0.94,No-run exit,1
2024-06-19,BANKNIFTY,CALL,ORB,50897.9,50441.75,0.009043104174617286,10:45:00,11:00:00,MOMENTUM,45.68,BULL,51153.6,50847.0,51837.82,425.04,392.41,1,15,15,-549.43,-591.18,-9.27,No-run exit,7
2024-06-20,BANKNIFTY,CALL,EMA_BOUNCE,51798.0,51495.45,0.005875276359367729,10:15:00,11:00:00,EMA_BOUNCE,32.15,BULL,51628.5,51281.5,52322.5,397.16,391.82,1,15,15,-140.13,-181.89,-3.05,No-run exit,6
2024-06-21,BANKNIFTY,CALL,EMA_BOUNCE,51934.35,51623.6,0.006019533701640335,13:45:00,14:00:00,EMA_BOUNCE,28.23,BULL,51732.95,51384.3,52430.25,363.29,222.55,1,15,15,-2171.03,-2212.02,-40.59,SL hit (theta),5
2024-06-24,BANKNIFTY,CALL,ORB,51394.75,51237.65,0.003066104710110603,11:00:00,11:15:00,MOMENTUM,15.22,BULL,51637.5,51343.36,51873.15,229.34,233.82,1,15,15,7.13,-33.92,-0.99,No-run exit,2
2024-06-25,BANKNIFTY,CALL,ORB,51966.5,51747.65,0.004229177556855211,10:00:00,10:35:00,MOMENTUM,23.21,BULL,52096.65,51914.53,52424.93,163.61,170.06,1,15,15,36.78,-3.98,-0.16,No-run exit,1
2024-06-26,BANKNIFTY,CALL,EMA_BOUNCE,52701.7,52510.75,0.0036363982613083433,10:15:00,10:45:00,EMA_BOUNCE,59.53,BULL,52513.05,52398.3,52742.55,436.34,575.1,1,15,15,2021.35,1978.77,30.23,Target hit,7
2024-06-27,BANKNIFTY,CALL,ORB,52980.3,52639.0,0.0064837857862042,10:00:00,10:25:00,RETEST,40.27,NEUTRAL,53070.5,52927.32,53582.45,408.26,307.18,1,15,15,-1576.25,-1617.62,-26.41,SL hit,6
2024-07-23,BANKNIFTY,PUT,ORB,52547.55,52275.65,0.005201274398309757,12:15:00,12:35:00,MOMENTUM,29.59,NEUTRAL,51835.5,52327.93,51427.65,162.79,394.91,1,15,15,3421.85,3380.09,138.42,Target hit,1
2024-07-24,BANKNIFTY,PUT,EMA_BOUNCE,51831.1,51526.55,0.00591054514614302,10:00:00,10:25:00,EMA_BOUNCE,43.19,BEAR,51392.75,51862.6,50453.05,427.03,426.14,1,15,15,-73.39,-115.3,-1.8,No-run exit,7
2024-07-30,BANKNIFTY,CALL,ORB,51501.9,51260.05,0.0047180991825017445,10:15:00,10:35:00,MOMENTUM,24.87,NEUTRAL,51645.85,51450.4,52008.62,162.2,156.07,1,15,15,-152.01,-192.71,-7.92,No-run exit,1
2024-08-06,BANKNIFTY,PUT,EMA_BOUNCE,50688.8,50395.95,0.005810982826993158,10:15:00,10:30:00,EMA_BOUNCE,44.2,BEAR,50085.2,50297.3,49661.0,157.29,78.95,1,15,15,-1235.09,-1275.44,-54.06,SL hit (theta),1
2024-08-07,BANKNIFTY,PUT,EMA_BOUNCE,50292.45,50096.9,0.003903435142693373,10:00:00,10:20:00,EMA_BOUNCE,27.24,BEAR,49848.55,50029.9,49485.85,414.2,280.53,1,15,15,-2065.12,-2106.37,-33.9,SL hit,7
2024-08-13,BANKNIFTY,PUT,ORB,50559.25,50387.0,0.0034185404965566516,12:30:00,12:45:00,MOMENTUM,25.75,NEUTRAL,50067.45,50437.39,49809.07,157.24,144.71,1,15,15,-247.92,-288.56,-12.23,No-run exit,1
2024-08-19,BANKNIFTY,CALL,EMA_BOUNCE,50728.25,50556.65,0.003394212235185649,11:15:00,11:55:00,EMA_BOUNCE,55.12,BULL,50543.95,50418.65,50794.55,224.49,151.87,1,15,15,-1149.25,-1189.92,-35.34,SL hit,2
2024-09-09,BANKNIFTY,PUT,EMA_BOUNCE,50582.85,50369.4,0.0042376919320062795,12:00:00,12:15:00,EMA_BOUNCE,69.45,BEAR,50639.55,50827.85,50262.95,224.91,234.66,1,15,15,86.26,45.22,1.34,No-run exit,2
2024-09-11,BANKNIFTY,CALL,EMA_BOUNCE,51218.55,51047.8,0.0033449041878396324,10:30:00,11:05:00,EMA_BOUNCE,34.62,BULL,51328.0,51225.34,51437.9,426.49,325.91,2,15,30,-3137.42,-3180.33,-24.86,SL hit,7
2024-09-18,BANKNIFTY,CALL,ORB,52358.55,52154.55,0.0039114516374889625,12:30:00,13:05:00,MOMENTUM,21.51,NEUTRAL,52827.2,52306.19,53133.2,438.95,411.32,1,15,15,-474.52,-516.36,-7.84,No-run exit,7
2024-10-04,BANKNIFTY,PUT,EMA_BOUNCE,51932.5,51643.75,0.00559118964056638,10:00:00,10:15:00,EMA_BOUNCE,70.34,BEAR,51777.15,52057.75,51215.95,363.6,225.06,1,15,15,-2138.14,-2179.14,-39.95,SL hit (theta),5
2024-10-07,BANKNIFTY,PUT,ORB,51784.8,51539.8,0.004753607891377149,10:45:00,11:00:00,MOMENTUM,31.89,BEAR,51165.2,51591.34,50797.7,227.25,54.24,1,15,15,-2655.19,-2695.42,-79.07,SL hit (theta),2
2024-10-15,BANKNIFTY,CALL,EMA_BOUNCE,52022.05,51894.3,0.002461734718456555,10:30:00,11:15:00,EMA_BOUNCE,48.9,BULL,51793.4,51689.81,51904.7,162.66,151.7,1,15,15,-224.42,-265.1,-10.87,No-run exit,1
2024-10-23,BANKNIFTY,PUT,EMA_BOUNCE,51518.6,51117.8,0.00784071301973081,10:00:00,10:20:00,EMA_BOUNCE,32.02,BEAR,51226.65,51484.55,50710.85,425.65,411.19,1,15,15,-276.94,-318.79,-4.99,No-run exit,7
2024-10-30,BANKNIFTY,CALL,EMA_BOUNCE,52220.0,51946.65,0.00526212951172017,10:45:00,11:20:00,EMA_BOUNCE,49.95,BULL,52030.55,51926.49,52234.35,432.33,404.49,1,15,15,-477.63,-519.44,-8.01,No-run exit,7
