date,index,direction,source,or_high,or_low,or_range_pct,watch_time,entry_time,entry_mode,adx,trend,entry_spot,sl_spot,tp_spot,entry_premium,exit_premium,lots,lot_size,quantity,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-01-12,NIFTY,CALL,ORB,21789.15,21715.15,0.0034077590990621754,10:45:00,11:15:00,MOMENTUM,20.27,BULL,21832.25,21767.36,21943.25,167.95,166.03,1,50,50,-296.2,-338.67,-4.03,No-run exit,6
2024-01-18,NIFTY,PUT,EMA_BOUNCE,21474.4,21406.35,0.0031789632515586692,12:30:00,12:55:00,EMA_BOUNCE,76.12,BEAR,21443.35,21520.05,21289.95,178.17,171.2,1,50,50,-548.28,-590.82,-6.63,No-run exit,7
2024-01-23,NIFTY,PUT,EMA_BOUNCE,21750.25,21702.75,0.002188662727073758,10:15:00,10:35:00,EMA_BOUNCE,23.14,BEAR,21570.1,21679.95,21350.4,95.8,99.52,1,50,50,-13.9,-55.36,-1.16,No-run exit,2
2024-01-24,NIFTY,PUT,EMA_BOUNCE,21254.75,21137.2,0.00556128531688205,11:15:00,11:30:00,EMA_BOUNCE,64.05,BEAR,21263.85,21388.55,21014.45,66.78,71.74,1,50,50,47.99,6.94,0.21,No-run exit,1
2024-01-31,NIFTY,CALL,ORB,21522.55,21448.85,0.003436081654727444,11:30:00,11:45:00,MOMENTUM,26.7,NEUTRAL,21713.3,21501.03,21823.85,68.19,70.78,1,50,50,-70.44,-111.47,-3.27,No-run exit,1
2024-02-09,NIFTY,PUT,EMA_BOUNCE,21780.5,21664.45,0.005356701877961327,10:15:00,10:50:00,EMA_BOUNCE,38.0,BEAR,21682.1,21750.7,21544.9,166.79,176.98,1,50,50,309.45,266.82,3.2,No-run exit,6
2024-02-13,NIFTY,PUT,EMA_BOUNCE,21678.05,21569.65,0.005025579923642609,12:00:00,12:25:00,EMA_BOUNCE,34.72,BEAR,21638.7,21726.6,21462.9,96.11,60.88,1,50,50,-1961.67,-2002.55,-41.67,SL hit (theta),2
2024-02-22,NIFTY,PUT,ORB,22094.3,21997.95,0.004379953586584138,10:45:00,11:15:00,MOMENTUM,26.03,BEAR,21909.95,22019.95,21765.43,182.05,111.28,1,50,50,-3738.46,-3780.1,-41.53,SL hit (theta),7
2024-03-05,NIFTY,PUT,ORB,22406.55,22319.55,0.0038979280496246565,11:00:00,11:15:00,RETEST,18.88,NEUTRAL,22283.0,22341.87,22152.5,98.97,66.33,1,50,50,-1832.14,-1873.11,-37.85,SL hit,2
2024-03-07,NIFTY,CALL,EMA_BOUNCE,22523.65,22473.4,0.0022359767547411604,11:00:00,11:50:00,EMA_BOUNCE,32.61,BULL,22489.9,22444.92,22568.0,186.87,181.14,1,50,50,-486.52,-529.2,-5.66,No-run exit,7
2024-03-12,NIFTY,PUT,EMA_BOUNCE,22369.85,22319.2,0.002269346571561607,10:30:00,10:45:00,EMA_BOUNCE,28.32,BEAR,22298.75,22436.95,22022.35,99.04,63.45,1,50,50,-1979.4,-2020.32,-40.8,SL hit (theta),2
2024-03-13,NIFTY,PUT,EMA_BOUNCE,22446.75,22338.75,0.0048346483129091825,10:15:00,10:45:00,EMA_BOUNCE,28.31,BEAR,22298.7,22344.15,22207.8,70.03,118.76,1,50,50,2236.52,2194.77,62.68,Target hit,1
2024-03-14,NIFTY,PUT,EMA_BOUNCE,22015.1,21917.5,0.004453062621193044,13:30:00,13:50:00,EMA_BOUNCE,50.33,BEAR,22113.3,22168.45,22003.0,183.74,170.95,1,50,50,-839.4,-881.94,-9.6,No-run exit,7
2024-03-20,NIFTY,PUT,EMA_BOUNCE,21891.7,21838.1,0.0024544259802822673,10:00:00,10:20:00,EMA_BOUNCE,44.35,BEAR,21758.95,21830.4,21616.05,68.33,21.69,1,50,50,-2531.96,-2572.26,-75.29,SL hit (theta),1
2024-04-03,NIFTY,CALL,EMA_BOUNCE,22408.05,22346.5,0.002754346318215348,10:00:00,10:20:00,EMA_BOUNCE,24.1,BULL,22461.2,22384.4,22614.8,70.54,67.14,1,50,50,-369.87,-410.85,-11.65,No-run exit,1
2024-05-06,NIFTY,PUT,EMA_BOUNCE,22577.15,22497.2,0.0035537755809612187,11:00:00,11:20:00,EMA_BOUNCE,34.8,BEAR,22469.95,22542.7,22324.45,122.23,114.55,1,50,50,-583.97,-625.66,-10.24,No-run exit,3
2024-05-10,NIFTY,PUT,EMA_BOUNCE,22050.55,21950.3,0.004567135756686697,10:45:00,11:25:00,EMA_BOUNCE,47.67,BEAR,22075.35,22119.5,22031.2,169.82,189.02,1,50,50,760.04,717.24,8.45,Target hit,6
2024-05-30,NIFTY,PUT,ORB,22705.75,22617.25,0.003912942554908311,11:00:00,11:20:00,MOMENTUM,34.01,BEAR,22548.35,22639.87,22415.6,187.36,181.88,1,50,50,-474.04,-516.74,-5.52,No-run exit,7
2024-06-04,NIFTY,CALL,EMA_BOUNCE,23179.5,22479.4,0.031144069681575064,13:45:00,14:30:00,EMA_BOUNCE,54.19,BULL,22009.3,21965.28,22099.0,97.75,53.5,1,50,50,-2412.29,-2453.06,-50.19,SL hit (theta),2
2024-06-27,NIFTY,CALL,ORB,23887.45,23813.45,0.0031074875752988332,10:00:00,10:25:00,MOMENTUM,53.55,BULL,23970.8,23863.56,24081.8,199.18,137.13,1,50,50,-3302.3,-3344.33,-33.58,SL hit,7
2024-07-23,NIFTY,PUT,ORB,24582.55,24502.6,0.003262919037163433,10:00:00,10:45:00,MOMENTUM,27.4,BEAR,24451.25,24527.1,24331.32,108.6,63.09,1,50,50,-2475.5,-2516.42,-46.34,SL hit (theta),2
2024-07-24,NIFTY,PUT,ORB,24487.0,24405.6,0.00333530009506021,12:15:00,12:35:00,MOMENTUM,35.54,NEUTRAL,24318.6,24430.01,24196.5,76.37,45.12,1,50,50,-1762.49,-1803.13,-47.22,SL hit (theta),1
2024-08-06,NIFTY,PUT,EMA_BOUNCE,24382.6,24189.5,0.007982802455610845,10:30:00,11:00:00,EMA_BOUNCE,52.33,BEAR,24234.45,24282.92,24185.98,107.63,107.54,1,50,50,-204.5,-246.08,-4.57,No-run exit,2
2024-09-19,NIFTY,PUT,EMA_BOUNCE,25587.1,25481.7,0.004136301738110009,11:15:00,11:45:00,EMA_BOUNCE,32.24,BEAR,25409.75,25509.95,25209.35,211.13,195.02,1,50,50,-1005.43,-1048.33,-9.93,No-run exit,7
2024-10-01,NIFTY,PUT,ORB,25907.6,25788.05,0.004635868163742481,10:30:00,10:45:00,RETEST,64.64,BEAR,25756.25,25813.84,25576.93,114.39,109.71,1,50,50,-433.81,-475.43,-8.31,No-run exit,2
2024-10-04,NIFTY,PUT,EMA_BOUNCE,25287.9,25118.15,0.0067580614018150215,12:30:00,12:55:00,EMA_BOUNCE,71.2,BEAR,25117.25,25463.25,24425.25,193.22,198.78,1,50,50,78.13,35.18,0.36,No-run exit,6
2024-11-04,NIFTY,PUT,ORB,24316.75,24074.05,0.010081394696779343,12:45:00,13:15:00,MOMENTUM,33.5,NEUTRAL,23875.95,24098.12,23511.9,129.88,78.15,1,50,50,-2786.28,-2827.42,-43.54,SL hit (theta),3
2024-11-13,NIFTY,PUT,ORB,23873.6,23780.3,0.003923415600307787,12:45:00,13:00:00,MOMENTUM,47.04,BEAR,23649.1,23804.08,23509.15,74.27,76.02,1,50,50,-112.48,-153.59,-4.14,No-run exit,1
2024-11-26,NIFTY,CALL,EMA_BOUNCE,24343.3,24280.8,0.0025740502784092783,13:45:00,14:15:00,EMA_BOUNCE,25.81,BULL,24191.95,24143.57,24283.25,107.45,115.1,1,50,50,182.4,140.7,2.62,No-run exit,2
2024-11-29,NIFTY,PUT,EMA_BOUNCE,24030.75,23927.15,0.004329809442411593,10:00:00,10:40:00,EMA_BOUNCE,33.34,BEAR,24082.35,24130.51,24034.19,185.26,151.18,1,50,50,-1904.1,-1946.34,-21.01,SL hit,6
2024-12-04,NIFTY,CALL,EMA_BOUNCE,24517.0,24446.85,0.002869490343336727,12:15:00,12:45:00,EMA_BOUNCE,45.71,BULL,24460.55,24411.63,24509.47,76.82,79.88,1,50,50,-46.76,-87.93,-2.29,No-run exit,1
2024-12-06,NIFTY,CALL,EMA_BOUNCE,24742.9,24682.95,0.0024288020678241754,10:15:00,10:40:00,EMA_BOUNCE,26.07,BULL,24724.3,24620.5,24931.9,190.2,177.26,1,50,50,-846.95,-889.58,-9.35,No-run exit,6
2024-12-18,NIFTY,PUT,ORB,24356.0,24273.1,0.0034153033605102546,12:30:00,12:45:00,MOMENTUM,44.32,BEAR,24159.9,24297.37,24035.55,75.88,45.83,1,50,50,-1702.58,-1743.24,-45.95,SL hit (theta),1
2024-12-20,NIFTY,PUT,EMA_BOUNCE,23990.85,23887.9,0.004309713285805663,11:15:00,12:00:00,EMA_BOUNCE,37.96,BEAR,23930.35,23978.21,23868.45,184.09,218.42,1,50,50,1516.61,1473.37,16.01,Target hit,6
2024-12-23,NIFTY,PUT,EMA_BOUNCE,23806.5,23721.95,0.0035642095190319208,12:00:00,12:20:00,EMA_BOUNCE,41.39,BEAR,23752.8,23819.5,23619.4,129.21,124.76,1,50,50,-422.54,-464.38,-7.19,No-run exit,3
2025-01-03,NIFTY,CALL,EMA_BOUNCE,24196.45,24126.8,0.002886831241606904,11:15:00,11:40:00,EMA_BOUNCE,66.47,BULL,24128.15,24051.45,24281.55,185.61,174.38,1,50,50,-761.29,-803.88,-8.66,No-run exit,6
2025-01-07,NIFTY,PUT,EMA_BOUNCE,23776.25,23679.85,0.004070971733351413,13:45:00,14:20:00,EMA_BOUNCE,43.8,BEAR,23717.6,23765.04,23666.3,105.34,108.64,1,50,50,-35.13,-76.73,-1.46,No-run exit,2
2025-02-01,NIFTY,CALL,EMA_BOUNCE,23595.45,23479.05,0.004957611146958734,13:30:00,13:55:00,EMA_BOUNCE,31.03,BULL,23495.25,23424.45,23636.85,164.99,159.31,1,50,50,-484.12,-526.48,-6.38,No-run exit,5
2025-02-03,NIFTY,CALL,EMA_BOUNCE,23345.15,23239.15,0.004561268376855435,13:00:00,13:40:00,EMA_BOUNCE,27.98,BULL,23352.05,23276.35,23503.45,127.03,121.46,1,50,50,-478.67,-520.46,-8.19,No-run exit,3
