date,index,direction,or_high,or_low,or_range_pct,breakout_time,breakout_price,entry_premium,exit_premium,lots,lot_size,quantity,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-01-01,BANKNIFTY,CALL,48282.35,48134.9,0.003063265946329941,11:00:00,48332.5,214.66,215.62,3,15,45,-136.81,-179.7,-1.86,Hard close,2
2024-01-09,BANKNIFTY,CALL,47798.05,47635.0,0.003422903327385387,10:30:00,47882.75,150.38,116.96,3,15,45,-1684.08,-1725.63,-25.5,SL hit,1
2024-01-15,BANKNIFTY,CALL,48097.9,47830.05,0.005600035960656502,12:15:00,48163.2,213.91,162.02,3,15,45,-2514.98,-2557.14,-26.57,SL hit,2
2024-01-16,BANKNIFTY,CALL,48204.15,48031.2,0.003600784490081538,10:30:00,48259.5,151.56,115.13,3,15,45,-1819.44,-1860.96,-27.29,SL hit,1
2024-01-17,BANKNIFTY,PUT,47212.75,46534.3,0.014579568189485971,11:30:00,46380.85,385.38,484.91,1,15,15,1433.02,1390.85,24.06,Hard close,7
2024-01-18,BANKNIFTY,CALL,45824.1,45430.7,0.008659342691175824,10:30:00,45903.2,353.12,204.47,1,15,15,-2289.76,-2330.67,-44.0,SL hit,6
2024-01-20,BANKNIFTY,PUT,46069.0,45895.1,0.0037890755222235372,10:00:00,45840.05,287.93,201.5,2,15,30,-2713.02,-2754.82,-31.89,SL hit,4
2024-01-23,BANKNIFTY,PUT,46580.3,46346.9,0.0050359355210381155,10:00:00,45993.7,144.45,225.09,3,15,45,3448.87,3405.86,52.4,Target hit,1
2024-01-24,BANKNIFTY,CALL,44928.95,44489.4,0.00987988149986279,10:00:00,45261.95,376.09,209.08,1,15,15,-2565.09,-2606.03,-46.2,SL hit,7
2024-01-25,BANKNIFTY,PUT,45136.1,44891.65,0.005445333374914869,10:00:00,44824.35,344.82,370.55,1,15,15,325.96,284.3,5.5,Hard close,6
2024-01-29,BANKNIFTY,CALL,45347.95,45110.9,0.005254827547222415,10:00:00,45463.9,201.92,142.91,3,15,45,-2835.45,-2877.35,-31.67,SL hit,2
2024-01-30,BANKNIFTY,PUT,45678.7,45398.0,0.006183091766157035,10:00:00,45351.35,142.43,105.41,3,15,45,-1845.87,-1887.27,-29.45,SL hit,1
2024-01-31,BANKNIFTY,CALL,45330.5,45071.2,0.00575311950868854,10:00:00,45824.45,380.76,388.23,1,15,15,52.12,10.38,0.18,Hard close,7
2024-02-02,BANKNIFTY,CALL,46699.6,46501.1,0.004268716223917284,11:30:00,46808.25,328.71,160.56,1,15,15,-2582.3,-2623.01,-53.2,SL hit,5
2024-02-07,BANKNIFTY,PUT,46062.85,45921.25,0.003083539755559758,10:15:00,45870.15,381.14,349.23,1,15,15,-538.6,-580.16,-10.15,Hard close,7
2024-02-09,BANKNIFTY,CALL,45153.4,44859.15,0.006559419873091665,10:00:00,45348.0,318.45,239.7,1,15,15,-1241.2,-1282.27,-26.84,SL hit,5
2024-02-12,BANKNIFTY,PUT,45748.5,45523.55,0.004941398462993266,10:00:00,45376.35,201.53,341.12,2,15,30,4067.81,4024.76,66.57,Target hit,2
2024-02-13,BANKNIFTY,CALL,45074.15,44840.6,0.0052084494855109634,10:00:00,45402.5,142.59,71.95,3,15,45,-3358.96,-3399.91,-52.99,SL hit,1
2024-02-14,BANKNIFTY,CALL,45140.1,44880.75,0.005778646747213416,10:00:00,45255.9,376.04,568.12,1,15,15,2821.25,2778.71,49.26,Target hit,7
2024-02-21,BANKNIFTY,PUT,47363.4,47114.0,0.005293543320456795,10:15:00,47025.95,390.74,295.62,1,15,15,-1486.83,-1528.16,-26.07,SL hit,7
2024-02-22,BANKNIFTY,PUT,47024.05,46861.7,0.0034644496465131617,10:00:00,46652.0,358.88,268.29,1,15,15,-1418.78,-1459.97,-27.12,SL hit,6
2024-02-23,BANKNIFTY,CALL,47103.9,46927.9,0.0037504341766838064,10:00:00,47173.35,331.27,236.09,1,15,15,-1487.63,-1528.68,-30.76,SL hit,5
2024-02-27,BANKNIFTY,CALL,46569.3,46427.65,0.003050983627213556,12:45:00,46616.8,146.4,116.94,3,15,45,-1505.54,-1547.09,-23.48,SL hit,1
2024-03-01,BANKNIFTY,CALL,46536.5,46218.0,0.0068912544895928,10:00:00,46604.9,327.28,499.01,1,15,15,2515.88,2473.64,50.39,Target hit,5
2024-03-04,BANKNIFTY,PUT,47461.15,47306.85,0.003261684090147683,10:45:00,47242.4,209.82,164.83,2,15,30,-1469.58,-1511.04,-24.01,SL hit,2
