date,index,direction,or_high,or_low,or_range_pct,breakout_time,breakout_price,entry_premium,exit_premium,lots,lot_size,quantity,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-01-03,NIFTY,PUT,21677.0,21594.45,0.003822741491448,10:15:00,21561.55,67.71,53.34,2,50,100,-1836.75,-1878.29,-27.74,SL hit,1
2024-01-12,NIFTY,CALL,21789.15,21715.15,0.0034077590990621754,10:15:00,21817.65,167.84,175.16,1,50,50,166.07,123.47,1.47,Hard close,6
2024-01-18,NIFTY,CALL,21474.4,21406.35,0.0031789632515586692,11:45:00,21510.05,178.73,137.19,1,50,50,-2277.05,-2319.08,-25.95,SL hit,7
2024-01-24,NIFTY,CALL,21254.75,21137.2,0.00556128531688205,10:00:00,21329.1,66.98,46.03,2,50,100,-2494.51,-2535.83,-37.86,SL hit,1
2024-01-25,NIFTY,PUT,21459.0,21372.05,0.004068397743782217,10:15:00,21316.6,177.12,164.99,1,50,50,-806.61,-849.06,-9.59,Hard close,7
2024-01-29,NIFTY,CALL,21553.05,21429.6,0.005760723485272741,10:15:00,21583.7,117.41,145.04,1,50,50,1181.32,1139.17,19.41,Hard close,3
2024-01-31,NIFTY,CALL,21522.55,21448.85,0.003436081654727444,10:00:00,21604.45,67.85,110.19,2,50,100,3833.87,3790.63,55.87,Target hit,1
2024-02-02,NIFTY,CALL,21954.0,21812.0,0.006510177883733725,11:00:00,21989.65,169.16,132.56,1,50,50,-2030.09,-2072.05,-24.5,SL hit,6
2024-02-06,NIFTY,CALL,21844.6,21737.55,0.004924658022638213,11:30:00,21870.1,97.13,101.86,1,50,50,36.3,-5.2,-0.11,Hard close,2
2024-02-07,NIFTY,PUT,22053.3,21979.55,0.003355391716390918,11:15:00,21932.4,68.88,43.84,2,50,100,-2904.44,-2945.7,-42.77,SL hit,1
2024-02-12,NIFTY,PUT,21831.7,21764.0,0.003110641426208451,10:00:00,21690.25,117.99,134.08,1,50,50,604.4,562.42,9.53,Hard close,3
2024-02-13,NIFTY,CALL,21678.05,21569.65,0.005025579923642609,10:00:00,21718.45,96.46,51.52,1,50,50,-2446.81,-2487.55,-51.58,SL hit,2
2024-02-14,NIFTY,CALL,21600.65,21533.65,0.0031114093523392458,10:45:00,21635.1,67.95,53.01,2,50,100,-1894.04,-1935.57,-28.49,SL hit,1
2024-02-22,NIFTY,PUT,22094.3,21997.95,0.004379953586584138,10:00:00,21935.5,182.26,145.48,1,50,50,-2038.82,-2080.98,-22.84,SL hit,7
