date,index,direction,or_high,or_low,or_range_pct,breakout_time,breakout_price,entry_premium,exit_premium,lots,lot_size,quantity,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-01-02,SENSEX,PUT,72332.85,72069.18,0.0036585680591899733,10:00:00,71944.14,391.35,328.0,2,10,20,-1346.94,-1388.9,-17.74,Hard close,3
2024-01-03,SENSEX,PUT,71862.0,71620.63,0.003370118358355621,10:15:00,71508.44,317.6,248.85,3,10,30,-2182.52,-2224.74,-23.35,SL hit,2
2024-01-18,SENSEX,CALL,71190.85,70939.71,0.0035401892677598963,11:00:00,71283.07,223.87,144.13,3,10,30,-2512.32,-2553.6,-38.02,SL hit,1
2024-01-24,SENSEX,CALL,70362.39,70001.6,0.0051540250508558885,10:00:00,70632.41,221.82,161.32,3,10,30,-1934.95,-1976.38,-29.7,SL hit,1
2024-01-29,SENSEX,CALL,71350.69,70880.54,0.006632991227211429,10:15:00,71447.02,448.76,518.86,2,10,20,1321.95,1278.85,14.25,Hard close,4
2024-01-30,SENSEX,PUT,72142.23,71773.71,0.005134470546387939,11:00:00,71635.42,389.67,292.61,2,10,20,-2021.29,-2063.03,-26.47,SL hit,3
2024-01-31,SENSEX,CALL,71082.56,70846.04,0.0033385069934749223,10:00:00,71414.86,317.18,336.74,2,10,20,311.15,269.14,4.24,Hard close,2
2024-02-06,SENSEX,CALL,71974.82,71625.18,0.004881523508911447,11:45:00,72116.61,392.28,344.34,2,10,20,-1038.78,-1080.84,-13.78,Hard close,3
2024-02-07,SENSEX,PUT,72559.21,72322.38,0.003274643340000726,10:30:00,72244.79,320.87,254.59,2,10,20,-1405.55,-1447.07,-22.55,SL hit,2
2024-02-12,SENSEX,PUT,71756.58,71539.0,0.003041417967821772,10:00:00,71331.43,448.04,492.18,1,10,10,401.37,359.9,8.03,Hard close,4
2024-02-13,SENSEX,CALL,71316.39,70984.18,0.004680056880279612,10:00:00,71494.95,388.9,237.43,2,10,20,-3109.43,-3150.84,-40.51,SL hit,3
2024-02-14,SENSEX,CALL,71038.92,70817.69,0.0031239369711154926,10:45:00,71169.94,316.09,251.97,2,10,20,-1362.45,-1403.95,-22.21,SL hit,2
2024-02-19,SENSEX,CALL,72675.46,72452.13,0.0030824490598137244,12:30:00,72776.04,457.11,378.42,1,10,10,-826.88,-868.0,-18.99,Hard close,4
