date,index,setup,direction,bias,gap_pct,signal_time,entry_time,entry_spot,entry_premium,sl_spot,lots,lot_size,quantity,exit_premium,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-01-03,BANKNIFTY,VWAP,PUT,NEUTRAL,0.18,12:20:00,12:25:00,47598.95,395.5,47688.85,1,15,15,411.63,-271.88,-313.74,-5.3,Hard close (14:30),7
2024-01-10,BANKNIFTY,VWAP,PUT,BEARISH,-0.333,12:40:00,12:45:00,47242.85,392.55,47307.3,1,15,15,406.97,-246.34,-288.18,-4.91,Hard close (14:30),7
2024-01-11,BANKNIFTY,SMC,CALL,BULLISH,0.378,10:55:00,11:00:00,47499.55,365.4,47389.7,1,15,15,355.76,114.57,72.96,1.33,Hard close (14:30),6
2024-01-12,BANKNIFTY,SMC,PUT,NEUTRAL,0.267,12:50:00,12:55:00,47744.1,335.28,47770.15,1,15,15,339.83,-98.24,-139.78,-2.79,Hard close (14:30),5
2024-01-16,BANKNIFTY,VWAP,PUT,NEUTRAL,-0.236,11:40:00,11:45:00,48198.95,151.37,48259.25,1,15,15,80.46,1033.6,993.23,44.03,Hard close (14:30),1
2024-01-17,BANKNIFTY,ORB,PUT,BEARISH,-3.196,11:40:00,11:45:00,46364.75,385.25,46737.83,1,15,15,270.3,1694.23,1653.01,28.68,Hard close (14:30),7
2024-01-18,BANKNIFTY,ORB,CALL,BEARISH,-1.282,11:55:00,12:00:00,46012.6,353.96,45706.08,1,15,15,533.1,-2717.05,-2759.45,-52.12,Short SL,6
2024-01-19,BANKNIFTY,VWAP,PUT,BULLISH,0.746,11:05:00,11:10:00,45959.65,322.75,46136.75,1,15,15,95.87,3373.22,3332.78,69.06,Short TP,5
2024-01-20,BANKNIFTY,VWAP,CALL,BULLISH,0.554,12:55:00,13:00:00,46058.55,289.3,45864.4,1,15,15,230.66,849.66,808.62,18.7,Hard close (14:30),4
2024-01-23,BANKNIFTY,ORB,PUT,BULLISH,0.839,10:35:00,10:40:00,45720.7,143.59,46320.43,1,15,15,0.1,2122.35,2082.35,97.36,Short TP,1
2024-01-24,BANKNIFTY,VWAP,PUT,BEARISH,-1.149,11:20:00,11:25:00,45127.2,374.97,45323.75,1,15,15,109.48,3952.38,3911.89,69.74,Short TP,7
2024-01-29,BANKNIFTY,VWAP,PUT,BULLISH,0.407,11:20:00,11:25:00,45351.25,201.42,45474.7,1,15,15,185.95,202.08,161.23,5.36,Hard close (14:30),2
2024-01-31,BANKNIFTY,ORB,CALL,NEUTRAL,-0.053,10:30:00,10:35:00,46046.5,382.6,45348.47,1,15,15,328.33,784.11,742.63,12.97,Hard close (14:30),7
2024-02-01,BANKNIFTY,VWAP,PUT,BULLISH,0.415,11:15:00,11:20:00,45890.55,353.02,46048.95,1,15,15,400.37,-740.22,-782.02,-14.81,Hard close (14:30),6
2024-02-02,BANKNIFTY,VWAP,PUT,BULLISH,0.782,12:25:00,12:30:00,46497.05,326.52,46698.3,1,15,15,183.06,2121.9,2081.07,42.62,Hard close (14:30),5
2024-02-05,BANKNIFTY,SMC,PUT,NEUTRAL,0.017,12:00:00,12:05:00,45877.1,203.76,45996.0,1,15,15,157.26,667.44,626.73,20.61,Hard close (14:30),2
2024-02-06,BANKNIFTY,PDH_PDL,CALL,NEUTRAL,0.294,11:30:00,11:35:00,45749.3,143.68,45571.75,1,15,15,178.92,-558.67,-599.48,-28.01,Hard close (14:30),1
2024-02-08,BANKNIFTY,PDH_PDL,PUT,NEUTRAL,0.125,10:40:00,10:45:00,45854.05,352.74,46107.08,1,15,15,81.2,4043.06,4002.69,75.86,Short TP,6
2024-02-08,BANKNIFTY,SMC,PUT,NEUTRAL,0.125,13:25:00,13:30:00,45516.05,350.14,45542.56,1,15,15,203.47,2170.02,2129.1,40.65,Hard close (14:30),6
2024-02-12,BANKNIFTY,ORB,PUT,NEUTRAL,-0.092,11:05:00,11:10:00,45323.95,201.3,45556.24,1,15,15,48.49,2262.1,2221.88,73.95,Short TP,2
2024-02-12,BANKNIFTY,SMC,CALL,NEUTRAL,-0.092,13:55:00,14:00:00,44753.15,198.77,44615.95,1,15,15,127.62,1037.22,996.64,33.6,Hard close (14:30),2
2024-02-13,BANKNIFTY,ORB,CALL,BULLISH,0.377,11:15:00,11:20:00,45316.7,142.32,45073.97,1,15,15,224.61,-1264.34,-1305.35,-61.58,Short SL,1
2024-02-13,BANKNIFTY,SMC,CALL,BULLISH,0.377,12:30:00,12:35:00,45086.5,141.6,44966.31,1,15,15,41.61,1469.81,1429.62,67.79,Short TP,1
2024-02-14,BANKNIFTY,ORB,CALL,BEARISH,-0.892,10:50:00,10:55:00,45319.4,376.56,45056.29,1,15,15,73.93,4509.41,4469.08,79.33,Short TP,7
2024-02-20,BANKNIFTY,ORB,CALL,NEUTRAL,-0.239,11:35:00,11:40:00,46850.8,147.14,46572.51,1,15,15,29.15,1739.78,1699.64,77.53,Hard close (14:30),1
2024-02-21,BANKNIFTY,VWAP,CALL,BULLISH,0.502,11:35:00,11:40:00,47134.15,391.64,47035.2,1,15,15,398.87,-138.39,-180.19,-3.08,Hard close (14:30),7
2024-02-22,BANKNIFTY,ORB,PUT,NEUTRAL,0.002,10:55:00,11:00:00,46524.15,357.9,46865.71,1,15,15,387.03,-466.93,-508.68,-9.5,Hard close (14:30),6
2024-02-23,BANKNIFTY,VWAP,PUT,NEUTRAL,0.247,13:20:00,13:25:00,46870.65,329.15,47038.85,1,15,15,284.04,646.66,605.38,12.3,Hard close (14:30),5
2024-02-26,BANKNIFTY,ORB,PUT,BEARISH,-0.327,11:50:00,11:55:00,46562.85,206.8,46695.76,1,15,15,228.38,-353.77,-394.81,-12.79,Hard close (14:30),2
