date,index,setup,direction,bias,gap_pct,signal_time,entry_time,entry_spot,entry_premium,sl_spot,lots,lot_size,quantity,exit_premium,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-01-05,NIFTY,VWAP,PUT,NEUTRAL,0.167,10:40:00,10:45:00,21705.35,166.97,21737.15,1,50,50,119.29,2284.02,2242.22,27.02,Hard close (14:30),6
2024-01-08,NIFTY,ORB,PUT,NEUTRAL,0.175,11:05:00,11:10:00,21615.5,117.58,21687.83,1,50,50,56.24,2967.09,2926.23,50.2,Hard close (14:30),3
2024-01-18,NIFTY,ORB,CALL,BEARISH,-0.756,11:55:00,12:00:00,21510.8,178.74,21442.09,1,50,50,191.84,-755.14,-798.03,-8.98,Hard close (14:30),7
2024-01-24,NIFTY,ORB,CALL,NEUTRAL,-0.272,11:20:00,11:25:00,21350.9,67.05,21241.01,1,50,50,110.16,-2255.31,-2296.98,-69.55,Short SL,1
2024-01-24,NIFTY,SMC,PUT,NEUTRAL,-0.272,13:15:00,13:20:00,21328.45,66.98,21344.8,1,50,50,91.08,-1305.2,-1346.58,-40.82,Hard close (14:30),1
2024-01-25,NIFTY,VWAP,CALL,NEUTRAL,-0.028,11:35:00,11:40:00,21346.85,177.37,21282.85,1,50,50,186.62,-562.54,-605.36,-6.86,Hard close (14:30),7
2024-01-29,NIFTY,ORB,CALL,NEUTRAL,0.292,10:35:00,10:40:00,21609.5,117.55,21522.7,1,50,50,50.77,3239.08,3198.3,54.88,Hard close (14:30),3
2024-01-30,NIFTY,VWAP,CALL,NEUTRAL,0.142,11:55:00,12:00:00,21731.4,96.52,21707.35,1,50,50,153.06,-2927.0,-2969.31,-62.17,Hard close (14:30),2
2024-01-31,NIFTY,ORB,CALL,NEUTRAL,-0.201,10:30:00,10:35:00,21628.25,67.92,21543.31,1,50,50,19.99,2296.45,2256.14,67.43,Short TP,1
2024-02-01,NIFTY,VWAP,PUT,BULLISH,0.333,11:15:00,11:20:00,21720.95,180.48,21787.25,1,50,50,149.85,1431.6,1389.33,15.48,Hard close (14:30),7
2024-02-02,NIFTY,ORB,CALL,BULLISH,0.565,11:10:00,11:15:00,21986.85,169.14,21918.01,1,50,50,199.26,-1606.06,-1649.06,-19.62,Hard close (14:30),6
2024-02-05,NIFTY,VWAP,PUT,BULLISH,0.31,13:25:00,13:30:00,21906.3,119.16,21934.4,1,50,50,84.5,1633.24,1591.96,26.95,Hard close (14:30),3
2024-02-07,NIFTY,ORB,PUT,BULLISH,0.484,11:30:00,11:35:00,21887.75,68.74,21991.52,1,50,50,84.3,-878.0,-919.28,-27.14,Hard close (14:30),1
2024-02-09,NIFTY,ORB,PUT,NEUTRAL,-0.15,11:00:00,11:05:00,21636.0,166.44,21699.26,1,50,50,202.53,-1904.4,-1947.45,-23.54,Hard close (14:30),6
2024-02-12,NIFTY,ORB,PUT,NEUTRAL,0.068,11:05:00,11:10:00,21707.3,118.08,21766.39,1,50,50,82.58,1675.2,1633.94,27.91,Hard close (14:30),3
2024-02-13,NIFTY,ORB,CALL,NEUTRAL,0.239,10:50:00,10:55:00,21738.15,96.55,21637.64,1,50,50,74.29,1012.98,971.85,20.34,Hard close (14:30),2
2024-02-15,NIFTY,PDH_PDL,PUT,NEUTRAL,0.265,10:55:00,11:00:00,21848.65,181.54,21904.91,1,50,50,172.05,374.41,331.82,3.68,Hard close (14:30),7
2024-02-21,NIFTY,PDH_PDL,PUT,NEUTRAL,0.183,10:10:00,10:15:00,22213.7,69.76,22232.57,1,50,50,15.76,2600.24,2559.99,74.46,Short TP,1
2024-02-22,NIFTY,ORB,PUT,NEUTRAL,0.24,10:55:00,11:00:00,21898.6,181.96,22003.47,1,50,50,235.65,-2784.54,-2828.09,-31.26,Hard close (14:30),7
2024-02-23,NIFTY,PDH_PDL,PUT,BULLISH,0.329,10:20:00,10:25:00,22237.9,171.07,22290.22,1,50,50,131.92,1857.35,1815.35,21.35,Hard close (14:30),6
2024-03-01,NIFTY,ORB,CALL,BULLISH,0.557,11:35:00,11:40:00,22286.4,171.44,22131.68,1,50,50,130.86,1929.08,1887.1,22.14,Hard close (14:30),6
2024-03-07,NIFTY,VWAP,CALL,NEUTRAL,0.112,11:00:00,11:05:00,22505.25,187.0,22450.85,1,50,50,156.22,1438.81,1396.45,15.02,Hard close (14:30),7
2024-03-12,NIFTY,VWAP,PUT,NEUTRAL,0.065,10:40:00,10:45:00,22350.55,99.27,22422.6,1,50,50,67.04,1511.67,1470.65,29.93,Hard close (14:30),2
2024-03-13,NIFTY,ORB,PUT,BULLISH,0.441,11:00:00,11:05:00,22245.8,69.86,22348.99,1,50,50,16.63,2561.75,2521.48,73.24,Short TP,1
2024-03-14,NIFTY,ORB,CALL,NEUTRAL,0.007,11:30:00,11:35:00,22136.35,183.93,21994.71,1,50,50,162.87,952.93,910.47,9.95,Hard close (14:30),7
2024-03-15,NIFTY,ORB,PUT,BEARISH,-0.398,10:55:00,11:00:00,21975.15,169.05,22046.98,1,50,50,146.86,1009.44,967.23,11.51,Hard close (14:30),6
2024-03-20,NIFTY,SMC,PUT,NEUTRAL,0.154,12:15:00,12:20:00,21860.95,68.66,21889.05,1,50,50,43.65,1150.6,1109.93,32.81,Hard close (14:30),1
2024-03-21,NIFTY,SMC,CALL,BULLISH,0.617,12:15:00,12:20:00,21985.75,182.68,21931.3,1,50,50,152.17,1425.33,1383.03,15.22,Hard close (14:30),7
2024-03-28,NIFTY,ORB,CALL,NEUTRAL,0.074,10:35:00,10:40:00,22348.05,185.69,22233.56,1,50,50,89.62,4703.68,4662.32,50.49,Hard close (14:30),7
2024-04-04,NIFTY,ORB,PUT,BULLISH,0.653,10:50:00,10:55:00,22315.4,185.42,22501.82,1,50,50,260.06,-3831.9,-3875.82,-42.03,Hard close (14:30),7
2024-04-12,NIFTY,PDH_PDL,CALL,NEUTRAL,-0.254,11:15:00,11:20:00,22687.25,174.53,22663.5,1,50,50,207.77,-1762.02,-1805.16,-20.81,Hard close (14:30),6
