signal_id,date,time,index,direction,direction_int,conviction_score,lot_size,close,vwap,vwap_distance,rsi,adx,ema_fast,ema_slow,pcr,iv_rank,pdh,pdl,weekly_high,weekly_low,dte,capital_before,capital_used,risk_amount,entry_premium,stop_loss,target,exit_premium,pnl,pnl_pct,exit_reason,trade_taken,outcome
2D45EE5C,2023-01-04,14:30:00,BANKNIFTY,PUT,0,69,1,43010.1,43147.2,-137.1,37.15,25.51,43147.65,43305.01,1.0,50.0,43480.6,43151.45,43577.35,42860.2,7,100000.0,5357.4,1071.48,357.16,285.73,535.74,348.63,-229.44,-4.28,No-move (flat 30 min),1,0
34F6C85D,2023-01-05,13:30:00,BANKNIFTY,PUT,0,68,1,42362.25,42717.8,-355.55,8.66,27.4,42708.78,42855.37,1.0,50.0,43577.35,42860.2,43577.35,42300.6,6,99770.56,4892.85,978.57,326.19,260.95,489.28,328.12,-72.56,-1.48,No-move (flat 30 min),1,0
F571CEE3,2023-01-06,13:30:00,BANKNIFTY,PUT,0,72,2,41929.5,42288.42,-358.92,16.25,27.37,42250.95,42345.14,1.0,50.0,43130.75,42300.6,43577.35,41881.45,5,99698.0,8845.5,1769.1,294.85,235.88,442.28,289.96,-309.41,-3.5,No-move (flat 30 min),1,0
240D1679,2023-01-13,13:45:00,BANKNIFTY,CALL,1,65,1,42396.05,42080.69,315.36,84.98,27.36,42132.12,42069.88,1.0,50.0,42342.75,41746.3,42711.15,41731.0,5,99388.59,4465.95,893.19,297.73,238.18,446.6,238.18,-994.31,-22.26,Stop-loss,1,0
A1C34AF4,2023-01-17,14:00:00,BANKNIFTY,PUT,0,69,1,42020.55,42184.04,-163.49,35.26,26.11,42138.14,42198.01,1.0,50.0,42712.3,42068.05,42712.3,41731.0,1,98394.28,1980.75,396.15,132.05,105.64,198.08,142.39,54.41,2.75,Profit lock (14:00),1,1
5EB540AC,2023-01-24,14:30:00,BANKNIFTY,PUT,0,66,1,42649.8,42812.66,-162.86,23.23,30.06,42782.4,42865.21,1.0,50.0,43002.5,42729.5,43077.0,42122.15,1,98448.69,2009.7,401.94,133.98,107.18,200.97,107.18,-502.47,-25.0,Stop-loss,1,0
69EC13B0,2023-01-27,13:30:00,BANKNIFTY,PUT,0,65,1,40329.75,40631.38,-301.63,27.26,26.35,40570.2,40687.52,1.0,50.0,42703.6,41541.25,43077.0,40151.0,5,97946.22,4256.85,851.37,283.79,227.03,425.69,390.18,1494.03,35.1,Profit lock (14:00),1,1
FB5469B5,2023-01-30,14:00:00,BANKNIFTY,PUT,0,68,1,39514.2,40033.15,-518.95,16.91,25.56,40010.25,40286.23,1.0,50.0,41392.3,40151.0,43077.0,39421.1,2,99440.25,2652.6,530.52,176.84,141.47,265.26,141.47,-631.18,-23.79,Stop-loss,1,0
8B891025,2023-02-17,13:30:00,BANKNIFTY,PUT,0,75,2,40999.85,41264.88,-265.03,13.96,27.58,41231.17,41334.16,1.0,50.0,41974.4,41523.1,41974.4,40886.9,5,98809.07,8616.6,1723.32,287.22,229.78,430.83,229.78,-1885.25,-21.88,Stop-loss,1,0
F68F9C9A,2023-02-20,13:30:00,BANKNIFTY,PUT,0,65,1,40871.25,41047.65,-176.4,25.52,26.83,41017.75,41104.56,1.0,50.0,41514.2,40886.9,41974.4,40580.25,2,96923.82,2718.45,543.69,181.23,144.98,271.84,202.41,216.74,7.97,Profit lock (14:00),1,1
675CCD42,2023-02-22,13:30:00,BANKNIFTY,PUT,0,75,2,40014.35,40221.06,-206.71,15.38,27.1,40210.81,40322.26,1.0,50.0,40942.75,40508.85,41974.4,39900.7,7,97140.56,9964.8,1992.96,332.16,265.73,498.24,344.33,202.1,2.03,Profit lock (14:00),1,1
1C4EFB3C,2023-03-03,14:00:00,BANKNIFTY,CALL,1,71,1,41300.55,41137.77,162.78,74.44,28.42,41146.58,40992.11,1.0,50.0,40771.3,40315.7,41389.0,39750.0,5,97342.66,4354.5,870.9,290.3,232.24,435.45,300.05,44.87,1.03,Profit lock (14:00),1,1
EC763144,2023-03-13,13:30:00,BANKNIFTY,PUT,0,68,1,39887.15,40293.55,-406.4,5.77,31.2,40249.69,40412.29,1.0,50.0,40811.2,40345.4,41667.8,39457.0,2,97387.53,2646.3,529.26,176.42,141.14,264.63,188.64,82.44,3.12,Profit lock (14:00),1,1
DFE75741,2023-04-03,14:15:00,BANKNIFTY,CALL,1,68,1,40804.2,40663.09,141.11,74.07,26.88,40676.52,40636.38,1.0,50.0,40688.85,40205.6,40857.05,39274.7,2,97469.97,2718.45,543.69,181.23,144.98,271.84,177.76,-152.8,-5.62,Hard close (15:00),1,0
771A83BC,2023-04-21,13:30:00,BANKNIFTY,PUT,0,66,1,42060.3,42179.46,-119.16,28.69,27.41,42177.9,42263.27,1.0,50.0,42377.05,42109.05,42603.55,41801.15,5,97317.17,4431.15,886.23,295.41,236.33,443.12,246.78,-830.57,-18.74,Max hold (60 min),1,0
DCD32247,2023-04-24,13:45:00,BANKNIFTY,CALL,1,65,1,42665.15,42418.66,246.49,82.98,25.24,42461.3,42442.48,1.0,50.0,42379.6,41963.85,42713.25,41963.85,2,96486.6,2841.45,568.29,189.43,151.54,284.14,206.15,149.93,5.28,Profit lock (14:00),1,1
47C1A1AE,2023-05-05,14:00:00,BANKNIFTY,PUT,0,75,2,43017.1,43295.64,-278.54,26.7,28.0,43254.94,43332.63,1.0,50.0,43737.5,43221.25,43737.5,42587.55,5,96636.53,9057.9,1811.58,301.93,241.54,452.89,351.76,1331.74,14.7,Profit lock (14:00),1,1
347FF942,2023-05-12,13:45:00,BANKNIFTY,CALL,1,65,1,43715.6,43531.29,184.31,80.17,25.68,43545.24,43489.78,1.0,50.0,43672.05,43370.2,43903.6,42796.85,5,97968.27,4612.5,922.5,307.5,246.0,461.25,309.1,-77.32,-1.68,Max hold (60 min),1,0
825CDE59,2023-05-15,13:45:00,BANKNIFTY,CALL,1,65,1,44112.15,43995.95,116.2,79.28,26.55,43992.97,43900.26,1.0,50.0,43903.6,43347.75,44151.7,42824.55,2,97890.95,2938.8,587.76,195.92,156.74,293.88,156.74,-688.4,-23.42,Stop-loss,1,0
8C65622E,2023-05-17,13:30:00,BANKNIFTY,PUT,0,68,1,43493.5,43734.98,-241.48,18.39,30.53,43707.59,43809.33,1.0,50.0,44144.15,43818.6,44151.7,43347.75,7,97202.55,5421.15,1084.23,361.41,289.13,542.12,289.13,-1185.49,-21.87,Stop-loss,1,0
79605C10,2023-05-26,13:30:00,BANKNIFTY,CALL,1,68,1,43862.45,43729.86,132.59,85.44,28.98,43747.24,43700.9,1.0,50.0,43717.95,43393.35,44093.8,43393.35,5,96017.06,4626.45,925.29,308.43,246.74,462.64,358.05,642.73,13.89,Profit lock (14:00),1,1
06A94840,2023-05-31,13:30:00,BANKNIFTY,PUT,0,66,1,43916.85,44025.56,-108.71,34.64,26.01,44004.57,44057.94,1.0,50.0,44494.75,44211.75,44494.75,43393.35,7,96659.79,5472.15,1094.43,364.81,291.85,547.22,363.89,-115.43,-2.11,No-move (flat 30 min),1,0
25201C90,2023-06-15,13:30:00,BANKNIFTY,PUT,0,65,1,43652.85,43817.43,-164.58,26.62,27.04,43787.79,43837.72,1.0,50.0,44197.75,43957.3,44218.05,43397.5,6,96544.36,5038.5,1007.7,335.9,268.72,503.85,392.86,752.7,14.94,Profit lock (14:00),1,1
0ECE156B,2023-06-19,13:45:00,BANKNIFTY,PUT,0,65,1,43554.9,43717.84,-162.94,18.22,28.04,43708.97,43813.72,1.0,50.0,44077.55,43546.8,44197.75,43397.5,2,97297.06,2901.3,580.26,193.42,154.74,290.13,196.69,-51.85,-1.79,No-move (flat 30 min),1,0
A0793AF6,2023-07-17,14:15:00,BANKNIFTY,CALL,1,67,1,45045.75,44848.82,196.93,73.25,26.93,44883.83,44820.62,1.0,50.0,44923.85,44547.8,45556.45,44547.8,2,97245.21,3003.9,600.78,200.26,160.21,300.39,267.48,907.15,30.2,Profit lock (14:00),1,1
B62B8BEF,2023-07-20,13:45:00,BANKNIFTY,CALL,1,72,2,45950.85,45767.43,183.42,80.72,29.93,45802.12,45773.63,1.0,50.0,45707.4,45433.0,46256.2,44547.8,6,98152.36,10624.8,2124.96,354.16,283.33,531.24,380.64,630.9,5.94,Profit lock (14:00),1,1
DCFDE5FA,2023-07-27,13:30:00,BANKNIFTY,PUT,0,65,1,45728.0,46020.83,-292.83,19.5,27.92,45980.94,46099.83,1.0,50.0,46096.6,45804.7,46369.5,45570.65,6,98783.26,5277.15,1055.43,351.81,281.45,527.72,342.53,-240.75,-4.56,No-move (flat 30 min),1,0
ADF32E2A,2023-08-02,13:45:00,BANKNIFTY,PUT,0,71,1,44782.4,45117.04,-334.64,18.59,29.58,45080.13,45181.81,1.0,50.0,45782.75,45471.05,46310.1,44722.5,7,98542.51,5581.2,1116.24,372.08,297.66,558.12,363.6,-228.86,-4.1,No-move (flat 30 min),1,0
474B71DB,2023-08-03,13:30:00,BANKNIFTY,PUT,0,68,1,44470.35,44763.91,-293.56,12.66,30.65,44741.69,44856.82,1.0,50.0,45404.9,44722.5,45782.75,44284.65,6,98313.65,5129.7,1025.94,341.98,273.58,512.97,395.98,708.18,13.81,Profit lock (14:00),1,1
49CE8D3D,2023-08-30,14:30:00,BANKNIFTY,PUT,0,66,1,44493.75,44633.35,-139.6,17.68,41.6,44613.52,44665.88,1.0,50.0,44673.0,44432.45,44949.9,43952.25,7,99021.83,5538.3,1107.66,369.22,295.38,553.83,384.44,126.65,2.29,Profit lock (14:00),1,1
818E8EFD,2023-08-31,13:30:00,BANKNIFTY,PUT,0,72,2,43958.05,44097.16,-139.11,36.85,27.52,44057.11,44093.28,1.0,50.0,44779.65,44151.5,44949.9,43897.6,6,99148.48,10172.1,2034.42,339.07,271.26,508.61,375.32,924.2,9.09,Profit lock (14:00),1,1
D21775B1,2023-09-01,14:00:00,BANKNIFTY,CALL,1,68,1,44406.85,44070.22,336.63,79.89,28.03,44126.2,44055.44,1.0,50.0,44399.65,43897.6,44779.65,43832.8,5,100072.68,4684.65,936.93,312.31,249.85,468.47,308.05,-165.32,-3.53,No-move (flat 30 min),1,0
