signal_id,date,time,index,direction,direction_int,conditions_met,close,vwap,vwap_distance,near_fib,fib_label,fib_level,fib_distance,rsi,adx,ema_bull,ema_bear,vol_spike,vol_ratio,pcr,swing_high,swing_low,dte,capital_before,capital_used,risk_amount,entry_premium,stop_loss,target,exit_premium,pnl,pnl_pct,exit_reason,trade_taken,outcome
E8F3FE46,2024-01-01,14:00:00,BANKNIFTY,CALL,1,3,48333.7,48295.88,37.82,0,,0.0,,63.91,25.29,1,0,0,0.0,1.0,48369.9,48134.9,2,100000.0,,,214.75,171.8,322.12,,,,shadow_not_traded,0,0
5EAB3D49,2024-01-01,14:15:00,BANKNIFTY,CALL,1,4,48357.0,48298.42,58.58,1,near_PDH,48439.9,82.9,67.59,28.45,1,0,0,0.0,1.0,48439.9,48134.9,2,100000.0,,,215.01,172.01,322.51,,,,shadow_not_traded,0,0
7F8DF107,2024-01-01,14:30:00,BANKNIFTY,CALL,1,4,48416.5,48303.27,113.23,1,near_PDH,48450.0,33.5,74.68,32.44,1,0,0,0.0,1.0,48450.0,48134.9,2,100000.0,,,215.12,172.1,322.68,,,,shadow_not_traded,0,0
274A9643,2024-01-02,13:30:00,BANKNIFTY,PUT,0,3,47841.75,47924.43,-82.68,1,near_PDL,48044.15,202.4,23.42,16.09,0,1,0,0.0,1.0,48450.0,48044.15,1,100000.0,,,150.2,120.16,225.3,,,,shadow_not_traded,0,0
750201F3,2024-01-02,13:45:00,BANKNIFTY,PUT,0,3,47825.95,47919.51,-93.56,1,near_PDL,48044.15,218.2,22.04,18.74,0,1,0,0.0,1.0,48450.0,48044.15,1,100000.0,,,150.18,120.14,225.27,,,,shadow_not_traded,0,0
A9BB3C29,2024-01-02,14:00:00,BANKNIFTY,PUT,0,3,47823.75,47914.41,-90.66,1,near_PDL,48044.15,220.4,21.85,21.26,0,1,0,0.0,1.0,48450.0,48044.15,1,100000.0,,,150.33,120.26,225.5,,,,shadow_not_traded,0,1
2CACE5B8,2024-01-04,13:00:00,BANKNIFTY,CALL,1,3,48139.45,48025.73,113.72,0,,0.0,,83.08,19.35,1,0,0,0.0,1.0,47798.75,47481.35,6,100000.0,,,370.89,296.71,556.34,,,,shadow_not_traded,0,0
74C7E2A9,2024-01-04,13:15:00,BANKNIFTY,CALL,1,4,48215.0,48035.87,179.13,0,,0.0,,87.38,27.17,1,0,0,0.0,1.0,47798.75,47481.35,6,100000.0,,,370.27,296.22,555.4,,,,shadow_not_traded,0,1
800E31E8,2024-01-04,13:30:00,BANKNIFTY,CALL,1,4,48132.6,48043.17,89.43,0,,0.0,,67.29,33.76,1,0,0,0.0,1.0,47798.75,47481.35,6,100000.0,,,370.15,296.12,555.22,,,,shadow_not_traded,0,1
ABA2B815,2024-01-04,13:45:00,BANKNIFTY,CALL,1,3,48116.55,48047.33,69.22,0,,0.0,,64.19,36.5,1,0,0,0.0,1.0,47798.75,47481.35,6,100000.0,,,370.17,296.14,555.25,,,,shadow_not_traded,0,1
02E0F1DF,2024-01-04,14:00:00,BANKNIFTY,CALL,1,4,48125.1,48051.88,73.22,0,,0.0,,65.11,39.17,1,0,0,0.0,1.0,47798.75,47481.35,6,100000.0,,,369.97,295.98,554.96,,,,shadow_not_traded,0,1
EF4704C2,2024-01-04,14:15:00,BANKNIFTY,CALL,1,3,48091.75,48053.92,37.83,0,,0.0,,58.76,39.65,1,0,0,0.0,1.0,47798.75,47481.35,6,100000.0,,,370.11,296.09,555.16,,,,shadow_not_traded,0,1
B3EA8820,2024-01-04,14:30:00,BANKNIFTY,CALL,1,3,48111.2,48056.24,54.96,0,,0.0,,61.14,40.08,1,0,0,0.0,1.0,47798.75,47481.35,6,100000.0,,,370.33,296.26,555.5,,,,shadow_not_traded,0,1
AE76702A,2024-01-05,13:00:00,BANKNIFTY,PUT,0,4,48058.15,48172.33,-114.18,1,near_PDH,48281.2,223.05,23.64,12.52,0,1,0,0.0,1.0,48281.2,47738.15,5,100000.0,20261.4,4960.0,337.69,270.15,439.0,428.56,5452.2,26.91,Profit lock (14:00),1,1
CD62EEAB,2024-01-05,13:15:00,BANKNIFTY,PUT,0,4,48085.75,48166.32,-80.57,1,near_PDH,48281.2,195.45,31.12,17.8,0,1,0,0.0,1.0,48281.2,47738.15,5,100000.0,,,337.61,270.09,506.42,,,,shadow_not_traded,0,0
