signal_id,date,time,index,direction,conditions_met,close,vwap,vwap_distance,near_fib,fib_label,fib_level,fib_distance,rsi,vol_spike,vol_ratio,pcr,swing_high,swing_low,dte,capital_before,capital_used,risk_amount,entry_premium,stop_loss,target,exit_premium,pnl,pnl_pct,exit_reason,trade_taken,outcome
942F4EB8,2025-06-03,14:00:00,BANKNIFTY,PUT,4,55606.95,55720.72,-113.77,1,50.0,55683.43,76.48,40.11,0,0.0,1.0,55966.3,55400.55,1,100000.0,13107.75,2960.0,174.77,139.82,262.16,139.82,-2621.25,-20.0,Stop-loss,1,0
5FD98677,2025-06-17,13:00:00,BANKNIFTY,PUT,4,55680.3,55818.03,-137.73,1,50.0,55690.65,10.35,14.2,0,0.0,1.0,55999.85,55381.45,1,97378.75,10493.4,2881.36,174.89,139.91,262.33,139.91,-2098.8,-20.0,Stop-loss,1,0
C5BC3B1B,2025-06-30,14:15:00,BANKNIFTY,PUT,4,57248.15,57384.68,-136.53,1,50.0,57234.62,13.53,31.0,0,0.0,1.0,57475.4,56993.85,2,95279.95,11438.55,2818.4,254.19,203.35,381.28,203.35,-2287.8,-20.0,Stop-loss,1,0
A1ADDF75,2025-07-01,13:30:00,BANKNIFTY,CALL,4,57426.95,57290.81,136.14,1,50.0,57404.15,22.8,69.42,0,0.0,1.0,57614.5,57193.8,1,92992.15,10827.0,2749.76,180.45,144.36,270.67,172.75,-462.0,-4.27,Hard close (15:00),1,0
93143648,2025-07-17,13:15:00,BANKNIFTY,PUT,4,56896.3,56984.16,-87.86,1,50.0,56921.38,25.08,26.24,0,0.0,1.0,57134.95,56707.8,6,92530.15,6564.75,2735.9,437.65,350.12,656.47,456.27,279.3,4.25,Hard close (15:00),1,1
AF7C3005,2025-07-22,14:30:00,BANKNIFTY,PUT,5,56777.05,56926.82,-149.77,1,38.2,56705.45,71.6,25.75,0,0.0,1.0,56983.45,56255.7,1,92809.45,10704.6,2744.28,178.41,142.73,267.62,197.51,1146.0,10.71,Hard close (15:00),1,1
1206068F,2025-07-23,13:00:00,BANKNIFTY,CALL,4,57027.95,56860.85,167.1,1,50.0,56989.07,38.88,79.64,0,0.0,1.0,57286.15,56692.0,7,93955.45,7110.6,2778.66,474.04,379.23,711.06,555.24,1218.0,17.13,Hard close (15:00),1,1
CBFB82E1,2025-07-29,14:15:00,BANKNIFTY,CALL,5,56251.35,56045.49,205.86,1,50.0,56287.93,36.58,74.5,0,0.0,1.0,56578.4,55997.45,1,95173.45,10603.2,2815.2,176.72,141.38,265.08,141.38,-2120.4,-20.0,Stop-loss,1,0
9EBB6B40,2025-08-11,13:45:00,BANKNIFTY,CALL,4,55315.5,55214.89,100.61,1,50.0,55279.1,36.4,63.79,0,0.0,1.0,55652.6,54905.6,2,93053.05,11060.55,2751.59,245.79,196.63,368.69,335.19,4023.0,36.37,Hard close (15:00),1,1
8C9CF86B,2025-08-19,13:00:00,BANKNIFTY,CALL,4,55899.45,55780.75,118.7,1,50.0,55901.98,2.53,73.17,0,0.0,1.0,56156.3,55647.65,1,97076.05,10535.4,2872.28,175.59,140.47,263.38,140.47,-2107.2,-20.0,Stop-loss,1,0
B359F2DE,2025-09-03,14:30:00,BANKNIFTY,CALL,4,53891.45,53739.63,151.82,1,50.0,53869.47,21.98,66.09,0,0.0,1.0,54160.95,53578.0,7,94968.85,6721.65,2809.07,448.11,358.49,672.16,531.28,1247.55,18.56,Hard close (15:00),1,1
494D3439,2025-09-23,13:00:00,BANKNIFTY,CALL,4,55505.1,55289.63,215.47,1,50.0,55440.97,64.13,81.15,0,0.0,1.0,55666.35,55215.6,1,96216.4,10462.2,2846.49,174.37,139.5,261.56,169.25,-307.2,-2.94,Hard close (15:00),1,0
EA08E183,2025-09-29,14:30:00,BANKNIFTY,CALL,4,54589.95,54489.72,100.23,1,50.0,54603.97,14.02,59.67,0,0.0,1.0,54897.0,54310.95,2,95909.2,10891.8,2837.28,242.04,193.63,363.06,193.63,-2178.45,-20.0,Stop-loss,1,0
3A6B133E,2025-11-19,13:00:00,BANKNIFTY,CALL,4,59026.15,58862.91,163.24,1,50.0,58951.28,74.87,78.91,0,0.0,1.0,59103.65,58798.9,7,93730.75,7360.95,2771.92,490.73,392.58,736.1,574.06,1249.95,16.98,Hard close (15:00),1,1
58FF39CB,2025-12-01,13:30:00,BANKNIFTY,PUT,5,59680.55,59899.72,-219.17,1,50.0,59748.22,67.67,28.81,0,0.0,1.0,59897.5,59598.95,2,94980.7,11931.3,2809.42,265.14,212.11,397.71,212.11,-2386.35,-20.0,Stop-loss,1,0
