signal_id,date,time,index,direction,direction_int,conviction_score,lot_size,close,vwap,vwap_distance,rsi,adx,ema_fast,ema_slow,pcr,iv_rank,pdh,pdl,weekly_high,weekly_low,dte,capital_before,capital_used,risk_amount,entry_premium,stop_loss,target,exit_premium,pnl,pnl_pct,exit_reason,trade_taken,outcome
12832E2F,2024-01-08,14:30:00,NIFTY,PUT,0,68,1,21549.85,21622.46,-72.61,31.74,27.09,21611.26,21659.05,1.0,50.0,21749.6,21629.2,21763.95,21492.9,3,100000.0,5854.5,1170.9,117.09,93.67,175.63,120.87,-52.54,-0.9,Hard close (15:00),1,0
C601836C,2024-01-12,13:45:00,NIFTY,CALL,1,68,1,21886.35,21818.47,67.88,84.43,27.57,21818.37,21781.23,1.0,50.0,21726.5,21593.75,21928.25,21448.65,6,99947.46,8421.5,1684.3,168.43,134.74,252.65,163.62,-483.04,-5.74,Max hold (60 min),1,0
F08B36D3,2024-01-17,13:30:00,NIFTY,PUT,0,65,1,21652.2,21716.8,-64.6,24.5,28.07,21704.22,21738.69,1.0,50.0,22124.15,21969.8,22124.15,21550.45,1,99464.42,3400.0,680.0,68.0,54.4,102.0,101.35,1426.1,41.94,Max hold (60 min),1,1
F9543EBD,2024-01-23,13:15:00,NIFTY,PUT,0,68,1,21353.25,21532.47,-179.22,8.84,28.29,21521.52,21614.42,1.0,50.0,21720.3,21541.8,21851.5,21192.6,2,100890.52,4741.0,948.2,94.82,75.86,142.23,108.64,449.22,9.48,Profit lock (14:00),1,1
5C0DB8AC,2024-01-29,14:00:00,NIFTY,CALL,1,68,1,21728.3,21632.58,95.72,81.88,27.45,21647.1,21601.16,1.0,50.0,21459.0,21247.05,21763.25,21137.2,3,101339.74,5907.5,1181.5,118.15,94.52,177.23,118.05,-246.77,-4.18,No-move (flat 30 min),1,0
59A0E939,2024-02-08,14:00:00,NIFTY,PUT,0,68,1,21771.2,21841.05,-69.85,26.82,29.03,21840.65,21907.7,1.0,50.0,22053.3,21860.15,22126.8,21665.3,7,101092.97,9027.0,1805.4,180.54,144.43,270.81,175.9,-474.8,-5.26,Max hold (60 min),1,0
43DAD1A8,2024-02-12,13:30:00,NIFTY,PUT,0,68,1,21618.85,21685.4,-66.55,26.32,27.05,21690.78,21739.73,1.0,50.0,21804.45,21629.9,22053.3,21574.75,3,100618.17,5883.0,1176.6,117.66,94.13,176.49,94.13,-1417.88,-24.1,Stop-loss,1,0
E88C37F5,2024-02-28,13:30:00,NIFTY,PUT,0,72,2,22000.2,22092.75,-92.55,32.2,26.69,22079.45,22137.51,1.0,50.0,22218.25,22085.65,22297.5,21875.25,1,99200.29,6914.0,1382.8,69.14,55.31,103.71,55.31,-1824.6,-26.39,Stop-loss,1,0
5EB9229E,2024-03-01,13:30:00,NIFTY,CALL,1,68,1,22314.25,22231.35,82.9,82.54,27.72,22235.35,22182.09,1.0,50.0,22229.15,21915.85,22353.3,21915.85,6,97375.69,8583.0,1716.6,171.66,137.33,257.49,174.84,-83.71,-0.98,No-move (flat 30 min),1,0
BD28764C,2024-03-13,13:30:00,NIFTY,PUT,0,65,1,22100.6,22206.38,-105.78,24.43,27.28,22195.96,22267.17,1.0,50.0,22452.55,22256.0,22526.6,21905.65,1,97291.98,3465.0,693.0,69.3,55.44,103.95,97.77,1182.28,34.12,Profit lock (14:00),1,1
