signal_id,date,time,index,direction,direction_int,conviction_score,lot_size,day_quality,close,vwap,vwap_distance,rsi,adx,ema_fast,ema_slow,pcr,iv_rank,pdh,pdl,weekly_high,weekly_low,dte,capital_before,capital_used,risk_amount,entry_premium,stop_loss,target,exit_premium,pnl,pnl_pct,exit_reason,trade_taken,outcome
47FCE3A2,2024-01-02,10:30:00,NIFTY,PUT,0,68,3,PREMIUM,21608.65,21682.33,-73.68,33.78,31.54,21717.08,21719.59,1.0,50.0,21834.35,21680.85,21834.35,21555.65,2,100000.0,14383.5,2157.53,95.89,81.51,153.42,88.18,-2017.89,-14.03,MAX_HOLD,1,0
6DF6868F,2024-01-12,10:15:00,NIFTY,CALL,1,65,1,PREMIUM,21804.5,21754.92,49.58,76.17,28.8,21686.18,21648.83,1.0,50.0,21726.5,21593.75,21928.25,21448.65,6,97982.11,8392.0,1258.8,167.84,142.66,268.54,171.4,-468.25,-5.58,MAX_HOLD,1,0
50FDB49D,2024-01-15,10:30:00,NIFTY,CALL,1,65,2,PREMIUM,22025.3,22027.5,-2.2,68.73,43.29,21918.96,21818.13,1.0,50.0,21928.25,21715.15,22115.55,21448.65,3,97513.86,11984.0,1797.6,119.84,101.86,191.74,124.35,-289.9,-2.42,MAX_HOLD,1,0
4752122F,2024-01-18,09:45:00,NIFTY,PUT,0,65,1,PREMIUM,21384.45,21418.74,-34.29,11.42,70.2,21624.05,21767.93,1.0,50.0,21851.5,21550.45,22124.15,21285.55,7,97223.96,8847.0,1327.05,176.94,150.4,283.1,150.4,-1675.44,-18.94,HARD_SL (-28.5%),1,0
6CAAD448,2024-01-29,11:30:00,NIFTY,CALL,1,65,2,PREMIUM,21633.2,21582.73,50.47,77.08,35.59,21479.88,21414.54,1.0,50.0,21459.0,21247.05,21763.25,21137.2,3,95548.52,11770.0,1765.5,117.7,100.05,188.32,134.36,926.87,7.87,MAX_HOLD,1,1
D833E5B2,2024-02-02,11:15:00,NIFTY,CALL,1,72,1,PREMIUM,21989.65,21935.28,54.37,74.78,29.68,21842.0,21771.46,1.0,50.0,21832.95,21658.75,22126.8,21429.6,6,96475.39,8479.0,1271.85,169.58,144.14,271.33,144.14,-1942.07,-22.9,HARD_SL (-35.8%),1,0
B6B5C056,2024-02-16,09:45:00,NIFTY,CALL,1,65,1,NORMAL,21994.1,22001.16,-7.06,70.5,29.38,21901.57,21827.6,1.0,50.0,21953.85,21794.8,22068.65,21530.2,6,94533.32,8464.5,1269.67,169.29,143.9,270.86,174.77,-394.53,-4.66,MAX_HOLD,1,0
3CB9E877,2024-02-22,10:00:00,NIFTY,PUT,0,65,1,PREMIUM,21946.15,22014.72,-68.57,30.63,28.22,22097.97,22128.5,1.0,50.0,22249.4,21997.95,22252.5,21875.25,7,94138.79,9113.5,1367.03,182.27,154.93,291.63,177.76,-911.53,-10.0,MAX_HOLD,1,0
05E2C1FD,2024-03-07,10:00:00,NIFTY,CALL,1,65,1,NORMAL,22471.85,22478.45,-6.6,66.44,36.11,22398.58,22365.54,1.0,50.0,22497.2,22224.35,22525.65,22224.35,7,93227.26,9342.5,1401.38,186.85,158.82,298.96,184.33,-786.95,-8.42,MAX_HOLD,1,0
D16701D9,2024-03-20,10:15:00,NIFTY,PUT,0,74,3,PREMIUM,21765.05,21836.48,-71.43,33.5,35.57,21846.16,21905.62,1.0,50.0,21978.3,21793.1,22204.6,21710.2,1,92440.31,10252.5,1537.88,68.35,58.1,109.36,58.1,-2271.35,-22.15,HARD_SL (-19.6%),1,0
754C256A,2024-03-27,11:30:00,NIFTY,CALL,1,65,3,PREMIUM,22167.7,22137.43,30.27,69.68,28.23,22101.77,22068.65,1.0,50.0,22073.2,21947.55,22193.6,21710.2,1,90168.96,10444.5,1566.67,69.63,59.19,111.41,60.87,-2116.82,-20.27,MAX_HOLD,1,0
60EC65E9,2024-03-28,11:00:00,NIFTY,CALL,1,65,1,NORMAL,22346.45,22288.93,57.52,73.73,31.56,22226.86,22161.58,1.0,50.0,22193.6,22052.85,22516.0,21883.3,7,88052.14,9292.5,1393.88,185.85,157.97,297.36,161.01,-1910.03,-20.55,MAX_HOLD,1,0
4506B40D,2024-04-01,09:45:00,NIFTY,CALL,1,65,2,PREMIUM,22482.6,22489.34,-6.74,60.7,38.07,22391.66,22298.33,1.0,50.0,22516.0,22163.6,22529.95,21883.3,3,86142.11,12250.0,1837.5,122.5,104.12,196.0,104.12,-2550.59,-20.82,HARD_SL (-21.8%),1,0
D0196BDD,2024-04-30,10:45:00,NIFTY,CALL,1,65,2,NORMAL,22742.7,22717.74,24.96,72.64,31.46,22586.52,22529.38,1.0,50.0,22620.4,22385.55,22783.35,22305.25,2,83591.52,10102.0,1515.3,101.02,85.87,161.63,96.61,-1111.93,-11.01,MAX_HOLD,1,0
