signal_id,date,time,index,direction,conditions_met,close,vwap,vwap_distance,near_fib,fib_label,fib_level,fib_distance,rsi,vol_spike,vol_ratio,pcr,swing_high,swing_low,dte,capital_before,capital_used,risk_amount,entry_premium,stop_loss,target,exit_premium,pnl,pnl_pct,exit_reason,trade_taken,outcome
2902C494,2025-07-29,13:45:00,NIFTY,CALL,4,24758.85,24686.88,71.97,1,50.0,24767.9,9.05,73.71,0,0.0,1.0,24889.2,24646.6,2,100000.0,11008.0,2960.0,110.08,88.06,165.12,124.2,1412.0,12.83,Hard close (15:00),1,1
BC35B4FF,2025-07-31,14:30:00,NIFTY,CALL,5,24867.15,24800.77,66.38,1,50.0,24837.12,30.03,62.44,0,0.0,1.0,24902.3,24771.95,7,101412.0,10336.0,3002.36,206.72,165.38,310.08,165.38,-2067.0,-20.0,Stop-loss,1,0
56E34896,2025-08-11,13:15:00,NIFTY,CALL,4,24475.2,24433.92,41.28,1,50.0,24461.5,13.7,67.77,0,0.0,1.0,24585.5,24337.5,3,99345.0,6659.5,2940.35,133.19,106.55,199.78,183.24,2502.5,37.58,Hard close (15:00),1,1
1C7D4AEE,2025-08-25,13:15:00,NIFTY,CALL,4,25000.85,24954.9,45.95,1,50.0,24972.0,28.85,74.01,0,0.0,1.0,25084.85,24859.15,3,101847.5,6796.5,3015.42,135.93,108.74,203.9,119.21,-836.0,-12.3,Hard close (15:00),1,0
00EA8EF1,2025-09-02,14:30:00,NIFTY,PUT,5,24540.7,24698.47,-157.77,1,50.0,24534.15,6.55,17.3,0,0.0,1.0,24635.6,24432.7,2,101011.5,10922.0,2990.34,109.22,87.38,163.83,112.42,320.0,2.93,Hard close (15:00),1,1
7CF9289A,2025-09-03,14:00:00,NIFTY,CALL,4,24652.95,24598.37,54.58,1,50.0,24639.22,13.73,65.04,0,0.0,1.0,24756.1,24522.35,1,101331.5,11616.0,2999.94,77.44,61.95,116.16,116.16,5808.0,50.0,Target (2.5×),1,1
799A84BF,2025-09-23,14:15:00,NIFTY,CALL,5,25206.9,25158.71,48.19,1,50.0,25241.38,34.48,64.32,0,0.0,1.0,25331.7,25151.05,2,107139.5,11197.0,3174.18,111.97,89.58,167.95,89.58,-2239.0,-20.0,Stop-loss,1,0
EA7963F9,2025-11-07,13:30:00,NIFTY,CALL,5,25531.8,25417.4,114.4,1,61.8,25563.21,31.41,86.26,0,0.0,1.0,25679.15,25491.55,6,104900.5,9822.5,3107.01,196.45,157.16,294.67,157.16,-1964.5,-20.0,Stop-loss,1,0
624FBA00,2025-11-11,13:30:00,NIFTY,CALL,4,25608.35,25525.72,82.63,1,50.0,25578.47,29.88,74.14,0,0.0,1.0,25653.45,25503.5,2,102936.0,11382.0,3048.08,113.82,91.06,170.73,148.05,3423.0,30.07,Hard close (15:00),1,1
EE251BBD,2025-12-10,13:00:00,NIFTY,PUT,4,25793.2,25860.84,-67.64,1,50.0,25825.83,32.63,33.4,0,0.0,1.0,25923.65,25728.0,1,106359.0,12154.5,3150.77,81.03,64.82,121.55,64.82,-2431.5,-20.0,Stop-loss,1,0
6628E668,2025-12-11,13:00:00,NIFTY,CALL,4,25879.0,25817.92,61.08,1,50.0,25841.1,37.9,63.8,0,0.0,1.0,25947.65,25734.55,7,103927.5,10741.0,3077.82,214.82,171.86,322.23,235.52,1035.0,9.64,Hard close (15:00),1,1
0A661068,2025-12-18,13:00:00,NIFTY,CALL,4,25881.8,25833.71,48.09,1,50.0,25849.75,32.05,71.37,0,0.0,1.0,25929.15,25770.35,6,104962.5,9954.5,3108.88,199.09,159.27,298.63,159.27,-1991.0,-20.0,Stop-loss,1,0
C552D12C,2026-01-05,14:15:00,NIFTY,PUT,4,26226.75,26318.64,-91.89,1,50.0,26229.2,2.45,22.34,0,0.0,1.0,26340.0,26118.4,3,102971.5,7133.0,3049.14,142.66,114.13,213.99,131.53,-556.5,-7.8,Hard close (15:00),1,0
B8AEDE00,2026-01-16,14:15:00,NIFTY,PUT,4,25688.05,25763.6,-75.55,1,50.0,25697.85,9.8,36.06,0,0.0,1.0,25791.75,25603.95,6,102415.0,9884.5,3032.45,197.69,158.15,296.53,205.39,385.0,3.89,Hard close (15:00),1,1
6D0814D2,2026-01-22,14:15:00,NIFTY,PUT,4,25178.35,25262.29,-83.94,1,38.2,25155.35,23.0,33.58,0,0.0,1.0,25300.95,24919.8,7,102800.0,10483.5,3044.0,209.67,167.74,314.5,167.74,-2096.5,-20.0,Stop-loss,1,0
AE4BAD29,2026-01-30,14:30:00,NIFTY,CALL,4,25336.1,25286.68,49.42,1,50.0,25308.97,27.13,60.71,0,0.0,1.0,25458.15,25159.8,6,100703.5,9735.0,2981.11,194.7,155.76,292.05,199.47,238.5,2.45,Hard close (15:00),1,1
B0A18229,2026-02-16,13:15:00,NIFTY,CALL,4,25571.35,25527.54,43.81,1,50.0,25537.32,34.03,68.89,0,0.0,1.0,25630.35,25444.3,3,100942.0,6958.0,2988.26,139.16,111.33,208.74,191.33,2608.5,37.49,Hard close (15:00),1,1
05C6431D,2026-02-20,14:00:00,NIFTY,CALL,4,25601.15,25561.57,39.58,1,50.0,25637.03,35.88,63.75,0,0.0,1.0,25885.3,25388.75,6,103550.5,9847.5,3066.51,196.95,157.56,295.42,182.1,-742.5,-7.54,Hard close (15:00),1,0
6028AD78,2026-02-25,13:00:00,NIFTY,PUT,4,25472.2,25590.89,-118.69,1,50.0,25484.7,12.5,21.16,0,0.0,1.0,25641.8,25327.6,1,102808.0,11995.5,3044.24,79.97,63.98,119.95,63.98,-2398.5,-19.99,Stop-loss,1,0
