signal_id,date,time,index,direction,direction_int,conditions_met,close,vwap,vwap_distance,near_fib,fib_label,fib_level,fib_distance,rsi,adx,ema_bull,ema_bear,vol_spike,vol_ratio,pcr,swing_high,swing_low,dte,capital_before,capital_used,risk_amount,entry_premium,stop_loss,target,exit_premium,pnl,pnl_pct,exit_reason,trade_taken,outcome
DF022201,2025-05-19,14:15:00,SENSEX,PUT,0,4,82018.63,82245.11,-226.48,1,near_PDH,82424.1,405.47,30.55,11.74,0,1,0,0.0,1.0,82424.1,81964.57,4,100000.0,,,515.19,412.15,669.75,,,,premium_out_of_range,0,-1
3D42630D,2025-05-19,14:30:00,SENSEX,PUT,0,4,82023.83,82235.63,-211.8,1,near_PDH,82424.1,400.27,31.23,15.51,0,1,0,0.0,1.0,82424.1,81964.57,4,100000.0,,,515.4,412.32,670.02,,,,premium_out_of_range,0,-1
EF56ACAB,2025-06-02,13:00:00,SENSEX,CALL,1,4,81212.42,81017.16,195.26,1,near_PDL,81286.45,74.03,69.88,17.38,1,0,0,0.0,1.0,81698.21,81286.45,4,100000.0,,,510.45,408.36,663.59,,,,premium_out_of_range,0,-1
70B79197,2025-06-02,13:15:00,SENSEX,CALL,1,5,81267.16,81033.2,233.96,1,near_PDL,81286.45,19.29,72.31,24.3,1,0,0,0.0,1.0,81698.21,81286.45,4,100000.0,,,510.6,408.48,765.9,,,,premium_out_of_range,0,-1
BBCB792A,2025-06-02,13:30:00,SENSEX,CALL,1,5,81294.32,81048.78,245.54,1,near_PDH,81698.21,403.89,73.45,30.32,1,0,0,0.0,1.0,81698.21,81286.45,4,100000.0,,,511.16,408.93,766.74,,,,premium_out_of_range,0,-1
FF36B926,2025-06-02,13:45:00,SENSEX,CALL,1,5,81378.62,81064.84,313.78,1,near_PDH,81698.21,319.59,76.67,35.74,1,0,0,0.0,1.0,81698.21,81286.45,4,100000.0,,,510.69,408.55,766.03,,,,premium_out_of_range,0,-1
6B538DB3,2025-06-02,14:00:00,SENSEX,CALL,1,5,81306.55,81077.87,228.68,1,near_PDH,81698.21,391.66,68.97,39.97,1,0,0,0.0,1.0,81698.21,81286.45,4,100000.0,,,510.38,408.3,765.57,,,,premium_out_of_range,0,-1
94CA9FBD,2025-06-02,14:15:00,SENSEX,CALL,1,5,81253.43,81086.83,166.6,1,near_PDL,81286.45,33.02,63.88,41.92,1,0,0,0.0,1.0,81698.21,81286.45,4,100000.0,,,510.51,408.41,765.76,,,,premium_out_of_range,0,-1
87246E8F,2025-06-02,14:30:00,SENSEX,CALL,1,5,81277.19,81094.82,182.37,1,near_PDL,81286.45,9.26,65.12,43.65,1,0,0,0.0,1.0,81698.21,81286.45,4,100000.0,,,509.77,407.82,764.65,,,,premium_out_of_range,0,-1
1CBCE5FA,2025-06-13,13:45:00,SENSEX,CALL,1,5,81172.87,80967.29,205.58,1,near_PDL,81523.16,350.29,74.17,23.33,1,0,0,0.0,1.0,82661.04,81523.16,7,100000.0,,,673.81,539.05,1010.71,,,,premium_out_of_range,0,-1
D9FC2D70,2025-06-24,13:45:00,SENSEX,PUT,0,5,82061.04,82701.37,-640.33,1,near_PDH,82169.67,108.63,29.58,20.56,0,1,0,0.0,1.0,82169.67,81476.76,3,100000.0,22352.0,4960.0,447.04,357.63,670.56,519.48,3622.0,16.2,Profit lock (14:00),1,1
