date,index,setup_type,direction,gap_pct,vix,adx_val,rsi_val,entry_time,exit_time,entry_spot,exit_spot,entry_premium,exit_premium,sl_pts,tp_pts,lots,quantity,candles_held,gross_pnl,theta_cost,slippage_cost,brokerage_cost,stt_cost,pnl,pnl_pct,exit_reason
2024-01-09,BANKNIFTY,GAP_GO,CALL,0.51,15.0,26.2,43.0,09:30:00,09:45:00,47609.5,47628.95,149.52,155.52,2.0,6.0,3,45,1,90.0,80.74,180,40.0,2.07,47.93,0.71,TP (+6.0pts)
2024-01-11,BANKNIFTY,GAP_GO,CALL,0.38,15.0,22.1,58.3,09:30:00,10:30:00,47503.5,47501.1,365.43,346.69,22.12,66.38,2,30,4,-682.21,526.21,120,40.0,3.1,-725.31,-6.62,MaxHold (4c)
2024-01-19,BANKNIFTY,GAP_GO,CALL,0.75,15.0,39.1,56.9,09:45:00,10:45:00,46099.6,46151.25,323.73,332.99,41.17,123.52,3,45,4,236.62,745.51,180,40.0,4.47,192.15,1.32,MaxHold (4c)
2024-01-20,BANKNIFTY,GAP_GO,CALL,0.55,15.0,29.6,50.9,09:30:00,09:45:00,45873.5,45794.3,288.14,247.69,40.45,121.35,3,45,1,-2000.25,155.6,180,40.0,3.32,-2043.57,-15.76,SL (-40.5pts)
2024-01-29,BANKNIFTY,GAP_GO,CALL,0.41,15.0,33.0,74.8,09:45:00,10:45:00,45460.1,45580.7,201.91,251.03,67.33,201.98,2,30,4,1353.58,335.42,120,40.0,2.24,1311.34,21.65,MaxHold (4c)
2024-02-02,BANKNIFTY,GAP_GO,CALL,0.78,15.0,18.6,71.6,09:45:00,10:15:00,46594.85,46549.05,327.21,299.83,27.38,82.12,3,45,2,-1412.1,355.9,180,40.0,4.02,-1456.12,-9.89,SL (-27.4pts)
2024-02-07,BANKNIFTY,GAP_GO,CALL,0.37,15.0,22.7,60.4,09:45:00,10:00:00,45928.1,45875.4,381.62,354.0,27.62,82.88,2,30,1,-948.6,137.38,120,40.0,3.17,-991.77,-8.66,SL (-27.6pts)
2024-02-14,BANKNIFTY,GAP_GO,PUT,0.89,15.0,23.3,45.5,09:45:00,10:00:00,45162.65,45255.9,375.26,355.81,19.45,58.35,3,45,1,-1055.25,202.64,180,40.0,4.78,-1100.03,-6.51,SL (-19.4pts)
2024-03-01,BANKNIFTY,GAP_GO,CALL,0.67,15.0,34.7,61.4,10:00:00,11:00:00,46604.9,46685.45,327.28,352.01,31.45,94.35,3,45,4,932.87,699.51,180,40.0,4.73,888.14,6.03,MaxHold (4c)
2024-03-21,BANKNIFTY,GAP_GO,CALL,0.66,15.0,22.4,71.1,10:00:00,11:00:00,46951.45,46875.7,361.18,308.58,87.1,261.3,3,45,4,-2547.14,662.77,180,40.0,4.14,-2591.28,-15.94,MaxHold (4c)
2024-04-01,BANKNIFTY,GAP_GO,CALL,0.52,15.0,38.3,65.0,09:45:00,10:45:00,47585.7,47551.05,211.35,184.67,48.67,146.02,3,45,4,-1380.44,420.82,180,40.0,2.47,-1422.91,-14.96,MaxHold (4c)
2024-04-03,BANKNIFTY,GAP_GO,PUT,0.45,15.0,17.9,38.0,09:45:00,10:00:00,47372.05,47493.0,393.62,376.0,17.62,52.88,2,30,1,-648.6,141.7,120,40.0,3.37,-691.97,-5.86,SL (-17.6pts)
2024-04-15,BANKNIFTY,GAP_GO,PUT,0.87,15.0,34.7,19.0,10:00:00,10:30:00,47981.95,48032.7,150.69,131.76,18.93,56.78,3,45,2,-1031.85,163.79,180,40.0,1.75,-1073.6,-15.83,SL (-18.9pts)
2024-04-16,BANKNIFTY,GAP_GO,PUT,0.67,15.0,55.6,21.5,09:45:00,10:45:00,47508.9,47524.65,149.2,138.0,11.2,33.6,3,45,4,-684.0,322.94,180,40.0,1.84,-725.84,-10.81,SL (-11.2pts)
2024-05-06,BANKNIFTY,GAP_GO,CALL,0.61,15.0,17.7,54.3,09:30:00,10:30:00,49098.55,49164.0,218.07,240.22,111.95,335.85,3,45,4,816.78,475.85,180,40.0,3.22,773.56,7.88,MaxHold (4c)
2024-06-04,BANKNIFTY,GAP_GO,PUT,0.86,15.0,47.2,34.6,09:45:00,10:45:00,49368.7,48318.85,155.04,650.64,165.2,495.6,3,45,4,22122.0,475.41,180,40.0,8.76,22073.24,316.38,TP (+495.6pts)
2024-07-01,BANKNIFTY,GAP_GO,PUT,0.77,15.0,18.3,38.8,09:45:00,10:45:00,52484.35,52386.75,233.1,269.72,30.42,91.27,3,45,4,1467.98,548.02,180,40.0,3.61,1424.37,13.58,MaxHold (4c)
2024-07-05,BANKNIFTY,GAP_GO,PUT,0.99,15.0,29.2,25.0,10:00:00,10:15:00,52385.8,52457.95,367.88,334.96,32.92,98.77,3,45,1,-1661.4,198.66,180,40.0,4.49,-1705.89,-10.3,SL (-32.9pts)
2024-07-29,BANKNIFTY,GAP_GO,CALL,0.38,15.0,34.9,77.2,09:45:00,10:45:00,51814.45,52097.55,230.13,325.08,31.65,94.95,2,30,4,2728.5,343.93,120,40.0,2.91,2685.59,38.9,TP (+95.0pts)
2024-08-05,BANKNIFTY,GAP_GO,PUT,1.46,15.0,29.7,17.6,10:00:00,10:45:00,50389.1,50039.2,223.8,388.5,54.9,164.7,3,45,3,7231.5,409.11,180,40.0,5.22,7186.28,71.36,TP (+164.7pts)
2024-08-06,BANKNIFTY,GAP_GO,CALL,0.76,15.0,39.2,54.3,09:45:00,10:00:00,50422.3,50263.75,158.35,115.85,42.5,127.5,3,45,1,-2092.5,85.51,180,40.0,1.54,-2134.04,-29.95,SL (-42.5pts)
2024-08-16,BANKNIFTY,GAP_GO,CALL,0.78,15.0,34.6,58.3,09:30:00,09:45:00,50005.3,49940.9,351.16,333.81,17.35,52.05,3,45,1,-960.75,189.63,180,40.0,4.48,-1005.23,-6.36,SL (-17.4pts)
2024-08-30,BANKNIFTY,GAP_GO,CALL,0.53,15.0,17.0,57.3,09:30:00,10:15:00,51347.6,51331.7,360.59,345.49,15.1,45.3,3,45,3,-859.5,578.42,180,40.0,4.64,-904.14,-5.57,SL (-15.1pts)
2024-09-04,BANKNIFTY,GAP_GO,PUT,0.63,15.0,21.6,44.1,09:45:00,10:00:00,51319.35,51371.05,426.42,405.02,21.4,64.2,3,45,1,-1143.0,230.27,180,40.0,5.44,-1188.44,-6.19,SL (-21.4pts)
2024-09-19,BANKNIFTY,GAP_GO,CALL,0.56,15.0,44.9,62.9,09:45:00,10:45:00,53071.0,53167.05,408.26,437.06,27.45,82.35,3,45,4,1115.87,865.25,180,40.0,5.87,1070.0,5.82,MaxHold (4c)
2024-09-30,BANKNIFTY,GAP_GO,PUT,0.52,15.0,44.9,9.2,09:45:00,10:45:00,53183.75,53227.0,167.03,138.7,99.08,297.23,3,45,4,-1455.0,301.88,180,40.0,1.85,-1496.85,-19.91,MaxHold (4c)
2024-10-21,BANKNIFTY,GAP_GO,CALL,0.43,15.0,33.1,59.1,09:30:00,10:30:00,52098.35,52106.85,231.39,224.09,43.25,129.75,2,30,4,-338.96,346.46,120,40.0,2.0,-380.96,-5.49,MaxHold (4c)
2024-10-28,BANKNIFTY,GAP_GO,CALL,0.41,15.0,36.8,69.5,09:45:00,10:45:00,51424.0,51456.95,228.39,233.61,174.3,522.9,2,30,4,36.47,337.78,120,40.0,2.08,-5.61,-0.08,MaxHold (4c)
2024-11-25,BANKNIFTY,GAP_GO,CALL,1.85,15.0,43.5,82.7,10:15:00,11:15:00,52194.6,52231.65,231.82,239.18,38.8,116.4,3,45,4,151.03,502.6,180,40.0,3.2,107.83,1.03,MaxHold (4c)
2024-12-03,BANKNIFTY,GAP_GO,CALL,0.46,15.0,31.9,75.3,09:45:00,10:45:00,52518.05,52656.15,164.94,224.78,46.78,140.33,2,30,4,1675.1,276.4,120,40.0,2.0,1633.09,33.0,MaxHold (4c)
2024-12-19,BANKNIFTY,GAP_GO,PUT,1.49,15.0,42.6,31.6,09:45:00,10:45:00,51586.6,51436.85,362.27,418.39,35.1,105.3,3,45,4,2345.23,844.15,180,40.0,5.62,2299.61,14.11,MaxHold (4c)
2024-12-20,BANKNIFTY,GAP_GO,PUT,0.41,15.0,28.4,45.3,09:30:00,09:45:00,51553.25,51193.45,323.81,437.43,37.88,113.62,2,30,1,3288.6,116.57,120,40.0,3.92,3244.68,33.4,TP (+113.6pts)
2025-01-14,BANKNIFTY,GAP_GO,CALL,0.45,15.0,37.0,59.3,10:00:00,11:00:00,48555.4,48784.5,152.49,237.76,28.42,85.27,2,30,4,2438.1,265.44,120,40.0,2.12,2395.98,52.37,TP (+85.3pts)
2025-01-16,BANKNIFTY,GAP_GO,CALL,0.61,15.0,23.0,67.0,10:00:00,11:00:00,49231.2,49238.3,378.72,364.17,14.55,43.65,3,45,4,-834.75,843.54,180,40.0,4.89,-879.64,-5.16,SL (-14.6pts)
2025-01-17,BANKNIFTY,GAP_GO,PUT,0.86,15.0,26.4,29.8,09:30:00,10:30:00,48610.65,48480.65,341.37,390.94,117.17,351.52,3,45,4,2050.74,694.26,180,40.0,5.25,2005.49,13.06,MaxHold (4c)
2025-01-20,BANKNIFTY,GAP_GO,CALL,0.63,15.0,27.3,62.3,09:30:00,10:30:00,48900.75,49001.4,217.19,255.89,54.97,164.92,3,45,4,1561.47,523.16,180,40.0,3.43,1518.04,15.53,MaxHold (4c)
2025-02-04,BANKNIFTY,GAP_GO,CALL,0.64,15.0,17.9,74.0,09:30:00,10:30:00,49948.45,49701.6,156.87,27.07,187.47,562.42,3,45,4,-6021.22,287.1,180,40.0,0.34,-6061.56,-85.87,MaxHold (4c)
2025-02-20,BANKNIFTY,GAP_GO,PUT,0.41,15.0,14.0,45.7,09:30:00,10:30:00,49292.95,49279.65,346.16,335.91,34.35,103.05,2,30,4,-427.61,507.11,120,40.0,3.01,-470.62,-4.53,MaxHold (4c)
2025-02-24,BANKNIFTY,GAP_GO,PUT,0.58,15.0,30.2,22.8,09:30:00,10:30:00,48317.3,48415.35,151.74,97.76,123.02,369.07,3,45,4,-2609.27,223.15,180,40.0,1.29,-2650.56,-38.82,MaxHold (4c)
2025-02-28,BANKNIFTY,GAP_GO,PUT,0.42,15.0,33.0,20.8,09:45:00,10:00:00,48265.5,48432.3,338.94,304.79,34.15,102.45,2,30,1,-1144.5,122.02,120,40.0,2.73,-1187.23,-11.68,SL (-34.1pts)
2025-03-11,BANKNIFTY,GAP_GO,PUT,0.61,15.0,34.4,22.1,09:45:00,10:45:00,47832.3,47948.4,150.22,114.75,35.47,106.42,3,45,4,-1776.15,297.09,180,40.0,1.52,-1817.67,-26.89,SL (-35.5pts)
2025-03-17,BANKNIFTY,GAP_GO,CALL,0.41,15.0,20.6,65.5,10:00:00,10:30:00,48384.5,48326.8,214.89,198.04,16.85,50.55,2,30,2,-625.5,152.15,120,40.0,1.76,-667.26,-10.35,SL (-16.9pts)
2025-03-18,BANKNIFTY,GAP_GO,CALL,0.92,15.0,22.4,77.4,09:45:00,10:45:00,48879.8,48994.2,153.51,201.04,38.98,116.93,3,45,4,1958.77,435.23,180,40.0,2.69,1916.08,27.74,MaxHold (4c)
2025-03-20,BANKNIFTY,GAP_GO,CALL,0.44,15.0,60.5,67.2,09:30:00,09:45:00,49889.95,49787.9,383.79,359.59,24.2,72.6,2,30,1,-846.0,138.16,120,40.0,3.22,-889.22,-7.72,SL (-24.2pts)
2025-03-24,BANKNIFTY,GAP_GO,CALL,0.82,15.0,34.5,84.1,09:45:00,10:45:00,51363.65,51741.9,228.13,404.2,97.83,293.48,3,45,4,7743.08,587.54,180,40.0,5.43,7697.65,74.98,MaxHold (4c)
2025-04-08,BANKNIFTY,GAP_GO,CALL,0.81,15.0,38.9,58.3,09:45:00,10:00:00,50368.55,50290.35,158.18,134.56,23.62,70.88,3,45,1,-1242.9,85.42,180,40.0,1.79,-1284.69,-18.05,SL (-23.6pts)
2025-04-11,BANKNIFTY,GAP_GO,CALL,0.7,15.0,26.2,66.1,10:15:00,11:15:00,50836.6,51071.05,357.0,431.48,24.83,74.48,3,45,4,3171.6,804.1,180,40.0,5.8,3125.8,19.46,TP (+74.5pts)
2025-04-21,BANKNIFTY,GAP_GO,CALL,1.18,15.0,71.7,83.4,10:15:00,11:15:00,55198.5,55388.2,245.16,326.72,51.97,155.92,3,45,4,3490.0,598.25,180,40.0,4.38,3445.61,31.23,MaxHold (4c)
2025-05-12,BANKNIFTY,GAP_GO,CALL,1.83,15.0,52.3,77.2,10:30:00,11:30:00,55233.15,55237.05,245.31,234.55,48.92,146.77,3,45,4,-664.4,572.15,180,40.0,3.14,-707.54,-6.41,MaxHold (4c)
2025-06-24,BANKNIFTY,GAP_GO,CALL,0.56,15.0,37.2,73.6,09:30:00,10:30:00,56557.35,56596.25,177.62,187.9,38.7,116.1,3,45,4,282.6,412.65,180,40.0,2.51,240.09,3.0,MaxHold (4c)
2025-07-18,BANKNIFTY,GAP_GO,PUT,0.49,15.0,30.1,17.9,10:00:00,11:00:00,56408.9,56311.35,396.13,423.73,60.6,181.8,2,30,4,708.09,635.16,120,40.0,3.8,664.3,5.59,MaxHold (4c)
2025-08-18,BANKNIFTY,GAP_GO,CALL,1.13,15.0,23.1,74.1,10:15:00,10:45:00,56018.4,55970.25,248.8,240.1,8.7,26.1,3,45,2,-571.5,271.4,180,40.0,3.21,-614.71,-5.49,SL (-8.7pts)
2025-10-23,BANKNIFTY,GAP_GO,CALL,0.59,15.0,27.9,72.7,10:00:00,10:30:00,58533.15,58448.9,450.28,405.2,45.08,135.23,3,45,2,-2208.6,471.91,180,40.0,5.44,-2254.04,-11.12,SL (-45.1pts)
2026-01-22,BANKNIFTY,GAP_GO,CALL,0.77,15.0,30.8,61.4,09:45:00,10:00:00,59388.75,59333.3,456.86,431.53,25.33,75.98,3,45,1,-1319.85,246.7,180,40.0,5.8,-1365.65,-6.64,SL (-25.3pts)
2026-01-28,BANKNIFTY,GAP_GO,CALL,0.38,15.0,28.4,70.3,09:45:00,10:00:00,59531.65,59447.45,494.65,452.92,41.73,125.18,2,30,1,-1371.9,178.07,120,40.0,4.06,-1415.96,-9.54,SL (-41.7pts)
2026-03-06,BANKNIFTY,GAP_GO,PUT,0.58,15.0,17.8,40.9,09:45:00,10:45:00,58495.25,58372.4,410.78,451.53,85.78,257.33,3,45,4,1653.56,930.57,180,40.0,6.07,1607.49,8.7,MaxHold (4c)
2026-03-09,BANKNIFTY,GAP_GO,PUT,2.87,15.0,45.3,11.4,10:15:00,10:45:00,55414.0,55772.7,246.12,194.09,52.03,156.08,3,45,2,-2521.35,276.95,180,40.0,2.59,-2563.94,-23.15,SL (-52.0pts)
2026-03-11,BANKNIFTY,GAP_GO,PUT,0.37,15.0,30.2,45.6,09:45:00,10:45:00,56630.6,56425.15,470.55,548.64,49.42,148.27,2,30,4,2222.62,739.13,120,40.0,4.92,2177.7,15.43,MaxHold (4c)
2026-03-13,BANKNIFTY,GAP_GO,PUT,0.98,15.0,35.5,21.0,09:45:00,10:45:00,54136.15,54157.75,380.17,350.69,140.67,422.02,3,45,4,-1506.67,840.67,180,40.0,4.71,-1551.38,-9.07,MaxHold (4c)
2026-03-23,BANKNIFTY,GAP_GO,PUT,1.64,15.0,30.7,15.2,09:45:00,10:45:00,51846.0,51654.85,230.27,313.63,173.22,519.67,3,45,4,3571.36,549.52,180,40.0,4.21,3527.15,34.04,MaxHold (4c)
2026-03-24,BANKNIFTY,GAP_GO,CALL,1.82,15.0,40.5,53.7,09:45:00,10:00:00,52240.0,52075.25,164.06,83.64,80.42,241.27,3,45,1,-3798.9,88.59,180,40.0,1.1,-3840.0,-52.01,SL (-80.4pts)
2026-03-25,BANKNIFTY,GAP_GO,CALL,0.53,15.0,34.7,73.5,10:00:00,11:00:00,53718.75,53987.2,446.35,557.72,94.92,284.77,3,45,4,4831.55,1028.57,180,40.0,7.5,4784.05,23.82,MaxHold (4c)
