date,index,setup_type,direction,gap_pct,vix,adx_val,rsi_val,entry_time,exit_time,entry_spot,exit_spot,entry_premium,exit_premium,sl_pts,tp_pts,lots,quantity,candles_held,gross_pnl,theta_cost,slippage_cost,brokerage_cost,stt_cost,pnl,pnl_pct,exit_reason
2024-01-04,NIFTY,GAP_GO,CALL,0.38,15.0,30.1,54.6,09:45:00,10:45:00,21602.25,21635.1,179.5,186.88,5.25,15.75,2,100,4,338.15,904.35,400,40.0,5.55,292.6,1.63,MaxHold (4c)
2024-01-09,NIFTY,GAP_GO,CALL,0.66,15.0,25.0,53.5,09:45:00,10:45:00,21625.75,21680.05,96.05,117.64,15.65,46.95,3,150,4,2637.8,834.7,600,40.0,5.2,2592.59,17.99,MaxHold (4c)
2024-01-15,NIFTY,GAP_GO,CALL,0.66,15.0,45.7,65.1,09:45:00,10:00:00,21982.75,22010.25,119.58,125.58,2.0,6.0,3,150,1,300.0,215.24,600,40.0,5.56,254.44,1.42,TP (+6.0pts)
2024-01-19,NIFTY,GAP_GO,CALL,0.64,15.0,38.5,64.5,09:45:00,10:45:00,21640.6,21623.95,166.48,150.17,16.97,50.92,3,150,4,-3046.48,1197.73,600,40.0,6.67,-3093.14,-12.39,MaxHold (4c)
2024-02-02,NIFTY,GAP_GO,CALL,0.56,15.0,25.7,72.3,10:15:00,11:15:00,21938.7,22042.75,168.77,200.05,10.43,31.28,3,150,4,4092.0,1228.46,600,40.0,8.91,4043.09,15.97,TP (+31.3pts)
2024-02-14,NIFTY,GAP_GO,PUT,0.69,15.0,20.7,39.7,09:45:00,10:00:00,21600.1,21620.4,67.84,63.09,4.75,14.25,3,150,1,-1312.5,122.11,600,40.0,2.75,-1355.25,-13.32,SL (-4.8pts)
2024-03-01,NIFTY,GAP_GO,CALL,0.56,15.0,32.1,63.7,10:00:00,10:45:00,22196.95,22172.45,170.76,155.14,15.62,46.88,3,150,3,-2943.0,897.41,600,40.0,6.89,-2989.89,-11.67,SL (-15.6pts)
2024-03-21,NIFTY,GAP_GO,CALL,0.62,15.0,22.4,75.6,10:00:00,11:00:00,22068.1,22073.95,183.37,177.91,32.27,96.82,3,150,4,-1419.03,1257.78,600,40.0,7.92,-1466.94,-5.33,MaxHold (4c)
2024-03-22,NIFTY,GAP_GO,PUT,0.37,15.0,19.7,45.9,09:30:00,09:45:00,21950.45,21990.8,168.86,159.46,9.4,28.2,2,100,1,-1340.0,202.63,400,40.0,4.72,-1384.72,-8.2,SL (-9.4pts)
2024-04-01,NIFTY,GAP_GO,CALL,0.5,15.0,36.9,63.3,09:45:00,10:45:00,22521.2,22477.05,122.51,99.86,22.65,67.95,3,150,4,-3997.5,805.91,600,40.0,4.4,-4041.9,-21.99,SL (-22.6pts)
