date,index,direction,sweep_time,level_price,level_kind,wick_pts,rr,adx,trend,entry_spot,sl_spot,tp_spot,entry_premium,exit_premium,lots,lot_size,quantity,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-01-01,BANKNIFTY,PUT,10:05:00,48282.35,OR_H,26.85,1.84,21.2,NEUTRAL,48268.2,48323.69,48166.15,214.38,177.83,3,15,45,-1824.59,-1866.96,-19.35,SL hit,2
2024-01-02,BANKNIFTY,PUT,10:25:00,47932.4,SWING_H,35.8,2.0,26.0,NEUTRAL,47879.95,47982.59,47674.67,150.37,139.53,2,15,30,-445.11,-486.34,-10.78,No-run exit,1
2024-01-05,BANKNIFTY,CALL,12:00:00,48091.85,SWING_L,33.8,1.65,53.2,BULL,48117.05,48043.63,48238.2,337.9,328.75,3,15,45,-591.81,-636.22,-4.18,No-run exit,5
2024-01-08,BANKNIFTY,CALL,10:35:00,48016.75,OR_L,31.55,2.0,17.0,BULL,48062.3,47970.8,48245.29,213.46,159.67,2,15,30,-1733.78,-1775.2,-27.72,SL hit,2
2024-01-11,BANKNIFTY,PUT,09:35:00,47588.0,SWING_H,34.95,2.0,18.5,NEUTRAL,47543.45,47637.24,47355.88,365.74,389.96,2,15,30,606.53,563.04,5.13,No-run exit,6
2024-01-12,BANKNIFTY,PUT,12:05:00,47662.1,PDH,43.85,2.0,20.2,BEAR,47642.5,47720.26,47486.98,334.57,326.49,3,15,45,-543.62,-588.0,-3.91,No-run exit,5
2024-01-15,BANKNIFTY,PUT,09:55:00,47976.5,SWING_H,54.45,2.0,25.0,BULL,47873.75,48045.36,47530.53,212.63,135.81,1,15,15,-1212.23,-1252.84,-39.28,SL hit (theta),2
2024-01-16,BANKNIFTY,CALL,13:40:00,48031.2,OR_L,28.35,2.0,17.3,BULL,48078.75,47988.45,48259.35,150.99,148.71,2,15,30,-188.35,-229.67,-5.07,No-run exit,1
2024-01-17,BANKNIFTY,CALL,09:45:00,47010.8,WEEK_L,30.9,2.0,14.5,NEUTRAL,47087.15,46965.81,47329.84,391.25,317.19,2,15,30,-2341.72,-2384.56,-20.32,SL hit,7
2024-01-18,BANKNIFTY,PUT,10:30:00,45824.1,OR_H,30.2,2.0,71.7,BEAR,45736.55,45868.06,45473.54,351.84,265.84,1,15,15,-1350.05,-1391.23,-26.36,SL hit,6
2024-01-20,BANKNIFTY,PUT,09:35:00,46000.0,ROUND,28.2,2.0,33.5,BEAR,45924.3,46042.01,45688.88,288.45,267.9,2,15,30,-736.4,-778.79,-9.0,No-run exit,4
2024-01-23,BANKNIFTY,CALL,11:25:00,45640.9,PDL,67.65,1.56,7.7,BULL,45667.95,45559.58,45837.05,143.42,0.1,2,15,30,-4359.6,-4399.6,-102.25,SL hit (theta),1
2024-01-25,BANKNIFTY,CALL,10:25:00,44604.5,SWING_L,37.2,2.0,31.2,NEUTRAL,44691.4,44553.93,44966.34,343.8,327.24,1,15,15,-308.44,-349.9,-6.78,No-run exit,6
2024-01-29,BANKNIFTY,PUT,09:45:00,45347.95,OR_H,50.0,2.34,25.3,NEUTRAL,45329.95,45411.57,45139.05,201.33,134.68,2,15,30,-2119.4,-2160.59,-35.77,SL hit,2
2024-01-30,BANKNIFTY,PUT,09:35:00,45500.0,ROUND,47.1,2.0,15.8,BULL,45351.15,45560.76,44931.92,142.43,138.45,1,15,15,-119.67,-160.28,-7.5,No-run exit,1
2024-01-31,BANKNIFTY,CALL,09:40:00,45206.05,PDL,25.95,2.0,12.6,NEUTRAL,45409.0,45166.55,45893.91,377.31,677.58,1,15,15,4444.12,4401.08,77.76,Target hit,7
2024-02-01,BANKNIFTY,CALL,10:05:00,45825.5,OR_L,51.6,2.0,19.6,BULL,45917.25,45760.17,46231.41,353.23,333.18,1,15,15,-360.68,-402.17,-7.59,No-run exit,6
2024-02-02,BANKNIFTY,PUT,10:20:00,46580.3,SWING_H,31.55,2.0,7.0,BULL,46540.05,46625.83,46368.48,326.83,349.06,2,15,30,547.04,503.92,5.14,No-run exit,5
2024-02-05,BANKNIFTY,CALL,11:55:00,45901.25,PDL,30.2,2.0,19.8,NEUTRAL,45953.1,45857.29,46144.72,204.1,197.75,2,15,30,-310.58,-352.34,-5.75,No-run exit,2
2024-02-06,BANKNIFTY,CALL,10:55:00,45615.1,PDL,26.45,2.0,19.6,BEAR,45636.85,45574.97,45760.6,143.32,227.66,3,15,45,3615.29,3572.25,55.39,Target hit,1
2024-02-08,BANKNIFTY,PUT,09:35:00,46062.85,PDH,45.8,2.0,12.7,NEUTRAL,46002.0,46122.48,45761.03,353.88,282.47,1,15,15,-1131.17,-1172.43,-22.09,SL hit,6
