date,index,direction,sweep_time,level_price,level_kind,wick_pts,rr,adx,trend,entry_spot,sl_spot,tp_spot,entry_premium,exit_premium,lots,lot_size,quantity,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-01-01,NIFTY,PUT,11:35:00,21737.35,OR_H,11.45,2.7,9.2,BULL,21734.15,21755.32,21676.9,118.22,118.05,3,50,150,-625.33,-670.55,-3.78,No-run exit,3
2024-01-03,NIFTY,CALL,12:55:00,21555.65,PDL,13.35,2.0,17.6,NEUTRAL,21562.0,21535.84,21614.33,67.72,71.11,3,50,150,-92.21,-135.32,-1.33,No-run exit,1
2024-01-08,NIFTY,PUT,11:55:00,21584.4,SWING_H,45.35,2.0,11.9,BULL,21557.1,21636.24,21398.82,117.26,109.01,1,50,50,-612.59,-654.19,-11.16,No-run exit,3
2024-01-10,NIFTY,CALL,09:40:00,21517.85,PDL,18.1,2.0,27.9,BEAR,21558.25,21493.3,21688.15,67.7,71.1,1,50,50,-29.96,-71.0,-2.1,No-run exit,1
2024-01-12,NIFTY,PUT,11:05:00,21834.35,SWING_H,13.85,2.0,20.3,BULL,21823.4,21854.75,21760.69,167.88,156.65,2,50,100,-1523.23,-1567.87,-9.34,No-run exit,6
2024-01-16,NIFTY,CALL,13:55:00,22029.2,OR_L,24.85,2.0,24.6,BULL,22043.85,21997.75,22136.05,97.91,94.11,1,50,50,-389.85,-431.23,-8.81,No-run exit,2
2024-01-17,NIFTY,PUT,10:40:00,21749.6,SWING_H,26.85,2.0,27.1,NEUTRAL,21738.7,21782.98,21650.13,68.27,65.68,1,50,50,-329.58,-370.53,-10.85,No-run exit,1
2024-01-19,NIFTY,CALL,11:50:00,21597.3,OR_L,12.3,2.67,29.5,NEUTRAL,21600.6,21578.52,21659.65,166.17,157.33,3,50,150,-1926.43,-1973.42,-7.92,No-run exit,6
2024-01-20,NIFTY,CALL,10:15:00,21629.2,SWING_L,24.9,2.0,14.7,BULL,21646.15,21597.82,21742.81,152.01,157.93,1,50,50,96.17,53.83,0.71,No-run exit,5
2024-01-23,NIFTY,PUT,10:05:00,21663.35,SWING_H,14.05,2.0,23.1,BEAR,21650.1,21683.9,21582.49,96.16,133.66,2,50,100,3349.85,3305.9,34.38,Target hit,2
2024-01-25,NIFTY,CALL,11:20:00,21285.55,SWING_L,26.8,2.0,27.3,NEUTRAL,21303.0,21252.37,21404.26,177.01,170.25,1,50,50,-538.21,-580.74,-6.56,No-run exit,7
2024-01-30,NIFTY,CALL,10:55:00,21696.05,OR_L,13.1,1.99,53.8,BULL,21705.45,21676.45,21763.25,96.4,73.61,2,50,100,-2678.8,-2720.94,-28.23,SL hit,2
2024-01-31,NIFTY,CALL,10:05:00,21552.75,SWING_L,21.55,2.0,26.7,NEUTRAL,21594.55,21524.74,21734.17,67.82,90.65,1,50,50,941.27,899.94,26.54,Hard close,1
2024-02-01,NIFTY,PUT,11:05:00,21813.05,WEEK_H,19.9,2.0,6.4,BULL,21790.5,21839.5,21692.5,181.06,193.75,1,50,50,434.38,391.5,4.32,No-run exit,7
2024-02-02,NIFTY,PUT,12:10:00,22069.4,SWING_H,21.8,2.0,15.1,NEUTRAL,22058.8,22097.83,21980.75,169.69,227.01,1,50,50,2665.87,2622.49,30.91,Target hit,6
2024-02-05,NIFTY,PUT,12:05:00,21921.15,OR_H,12.45,1.56,13.0,NEUTRAL,21904.25,21940.18,21848.2,119.15,114.18,2,50,100,-896.91,-940.28,-7.89,No-run exit,3
2024-02-06,NIFTY,CALL,09:35:00,21810.65,SWING_L,21.05,2.0,17.6,BEAR,21845.85,21783.06,21971.42,97.03,98.74,1,50,50,-114.69,-156.14,-3.22,No-run exit,2
