date,index,direction,gap_pct,vix,adx_val,rsi_val,entry_time,final_exit_time,entry_spot,entry_premium,lots,quantity,candles_held_5min,partial_lots,partial_premium,partial_pnl,final_lots,final_premium,final_exit_reason,gross_pnl,theta_cost,slippage_cost,brokerage_cost,stt_cost,net_pnl,net_pnl_pct,highest_premium,trailing_sl_at_exit
2024-01-09,BANKNIFTY,CALL,0.51,15.0,27.9,50.9,09:35:00,09:40:00,47680.2,149.74,3,45,1,0,0.0,0.0,3,127.28,SL_HIT,-1190.74,26.95,180,40.0,1.69,-1259.39,-18.69,149.74,0.0
2024-01-11,BANKNIFTY,CALL,0.38,15.0,21.7,68.3,09:45:00,10:10:00,47530.65,365.64,2,30,5,0,0.0,0.0,2,344.05,NO_MOVE,-767.59,211.09,120,40.0,3.08,-1021.76,-9.31,365.64,0.0
2024-01-19,BANKNIFTY,CALL,0.75,15.0,43.4,58.7,10:15:00,10:55:00,46099.65,323.73,3,45,8,0,0.0,0.0,3,340.34,TRAIL_SL,567.49,518.87,180,40.0,4.57,4.06,0.03,386.75,340.34
2024-01-20,BANKNIFTY,CALL,0.55,15.0,31.4,57.8,10:10:00,11:15:00,45840.05,287.93,3,45,13,0,0.0,0.0,3,311.15,TRAIL_SL,864.78,768.48,180,40.0,4.17,52.13,0.4,353.58,311.15
2024-02-07,BANKNIFTY,CALL,0.37,15.0,22.4,62.8,09:40:00,10:35:00,45930.1,381.64,2,30,11,0,0.0,0.0,2,324.39,SL_HIT,-1837.38,467.2,120,40.0,2.9,-2347.48,-20.5,382.06,0.0
2024-02-14,BANKNIFTY,PUT,0.89,15.0,23.7,36.4,09:45:00,10:10:00,45129.05,374.98,3,45,5,0,0.0,0.0,3,318.73,SL_HIT,-2711.12,335.7,180,40.0,4.28,-3091.09,-18.32,407.81,0.0
2024-04-01,BANKNIFTY,CALL,0.52,15.0,39.6,65.6,10:05:00,10:30:00,47534.85,211.12,3,45,5,0,0.0,0.0,3,219.78,NO_MOVE,209.86,194.02,180,40.0,2.94,-27.1,-0.29,219.78,0.0
2024-04-03,BANKNIFTY,PUT,0.45,15.0,15.6,29.1,09:50:00,10:10:00,47371.85,393.62,2,30,4,0,0.0,0.0,2,334.58,SL_HIT,-1891.29,182.56,120,40.0,2.99,-2116.84,-17.93,393.62,0.0
2024-04-15,BANKNIFTY,PUT,0.87,15.0,26.7,15.8,10:15:00,10:40:00,48009.4,150.78,3,45,5,0,0.0,0.0,3,150.78,BE_STOP,-180.0,144.05,180,40.0,2.01,-366.05,-5.39,171.3,0.0
2024-04-16,BANKNIFTY,PUT,0.67,15.0,52.3,10.7,10:00:00,10:05:00,47478.35,149.11,3,45,1,0,0.0,0.0,3,126.74,SL_HIT,-1186.49,26.84,180,40.0,1.68,-1255.02,-18.7,149.11,0.0
2024-05-06,BANKNIFTY,CALL,0.61,15.0,16.5,58.7,09:40:00,09:45:00,49098.55,218.07,3,45,1,0,0.0,0.0,3,185.36,SL_HIT,-1651.97,39.25,180,40.0,2.48,-1733.7,-17.67,218.07,0.0
2024-06-04,BANKNIFTY,PUT,0.86,15.0,47.6,29.1,09:55:00,10:05:00,49368.7,155.04,3,45,2,0,0.0,0.0,3,131.78,SL_HIT,-1226.52,55.56,180,40.0,1.75,-1323.84,-18.97,155.04,0.0
2024-07-01,BANKNIFTY,PUT,0.77,15.0,15.7,28.0,09:45:00,10:05:00,52451.65,232.96,3,45,4,0,0.0,0.0,3,198.02,SL_HIT,-1752.48,155.92,180,40.0,2.65,-1951.05,-18.61,232.96,0.0
2024-07-29,BANKNIFTY,CALL,0.38,15.0,29.4,83.3,09:50:00,10:15:00,51834.45,230.22,2,30,5,0,0.0,0.0,2,223.82,NO_MOVE,-311.86,134.86,120,40.0,2.0,-488.72,-7.08,246.97,0.0
2024-08-06,BANKNIFTY,CALL,0.76,15.0,41.7,57.4,09:50:00,10:05:00,50435.95,158.4,3,45,3,0,0.0,0.0,3,134.64,SL_HIT,-1249.2,80.66,180,40.0,1.79,-1371.65,-19.24,158.4,0.0
2024-08-16,BANKNIFTY,CALL,0.78,15.0,33.9,75.2,10:00:00,10:25:00,50011.25,351.2,3,45,5,0,0.0,0.0,3,298.52,SL_HIT,-2550.6,295.56,180,40.0,4.0,-2890.17,-18.29,351.2,0.0
2024-08-30,BANKNIFTY,CALL,0.53,15.0,16.6,63.5,10:05:00,10:30:00,51352.8,360.62,3,45,5,0,0.0,0.0,3,364.97,NO_MOVE,15.79,316.08,180,40.0,4.9,-345.19,-2.13,364.97,0.0
2024-09-04,BANKNIFTY,PUT,0.63,15.0,21.7,43.5,10:25:00,10:50:00,51356.8,426.73,3,45,5,0,0.0,0.0,3,418.16,NO_MOVE,-565.53,385.53,180,40.0,5.62,-996.68,-5.19,440.65,0.0
2024-09-19,BANKNIFTY,CALL,0.56,15.0,45.1,72.4,10:00:00,10:30:00,53124.4,408.67,3,45,6,0,0.0,0.0,3,388.85,NO_MOVE,-1071.92,416.05,180,40.0,5.22,-1533.19,-8.34,408.67,0.0
2024-10-21,BANKNIFTY,CALL,0.43,15.0,33.9,79.6,10:00:00,10:10:00,52264.2,232.13,2,30,2,0,0.0,0.0,2,197.31,SL_HIT,-1164.59,53.89,120,40.0,1.76,-1260.23,-18.1,232.13,0.0
2024-10-28,BANKNIFTY,CALL,0.41,15.0,35.8,68.8,09:45:00,10:25:00,51238.65,227.57,2,30,8,1,367.1,2031.3,1,328.03,TRAIL_SL,3478.14,297.14,120,40.0,1.47,3139.53,45.99,372.76,328.03
2024-12-19,BANKNIFTY,PUT,1.49,15.0,40.1,21.3,09:55:00,10:25:00,51586.6,362.27,3,45,6,0,0.0,0.0,3,389.86,TRAIL_SL,1061.33,424.71,180,40.0,5.24,591.39,3.63,443.02,389.86
2024-12-20,BANKNIFTY,PUT,0.41,15.0,28.5,34.4,09:45:00,10:10:00,51220.15,321.72,2,30,5,0,0.0,0.0,2,327.12,NO_MOVE,42.05,199.45,120,40.0,2.93,-200.33,-2.08,366.84,0.0
2025-01-14,BANKNIFTY,CALL,0.45,15.0,40.2,60.7,09:55:00,10:15:00,48575.05,152.55,2,30,4,0,0.0,0.0,2,129.67,SL_HIT,-806.47,67.83,120,40.0,1.15,-915.46,-20.0,152.55,0.0
2025-01-16,BANKNIFTY,CALL,0.61,15.0,18.8,70.5,10:10:00,10:40:00,49231.2,378.72,3,45,6,0,0.0,0.0,3,408.11,NO_MOVE,1142.45,437.05,180,40.0,5.48,659.92,3.87,425.11,0.0
2025-01-17,BANKNIFTY,PUT,0.86,15.0,25.4,34.3,10:20:00,11:15:00,48629.4,341.5,3,45,11,1,481.22,2033.71,2,423.48,TRAIL_SL,4373.02,818.65,180,40.0,3.79,3510.58,22.84,481.22,423.48
2025-02-04,BANKNIFTY,CALL,0.64,15.0,15.0,65.5,10:15:00,10:30:00,49879.05,156.65,3,45,3,0,0.0,0.0,3,133.15,SL_HIT,-1237.39,82.59,180,40.0,1.77,-1361.74,-19.32,158.85,0.0
2025-02-20,BANKNIFTY,PUT,0.41,15.0,13.0,43.3,10:10:00,10:35:00,49251.65,345.87,2,30,5,0,0.0,0.0,2,319.45,NO_MOVE,-912.49,197.74,120,40.0,2.86,-1153.08,-11.11,345.87,0.0
2025-02-24,BANKNIFTY,PUT,0.58,15.0,27.6,27.2,10:20:00,10:30:00,48415.2,152.05,3,45,2,0,0.0,0.0,3,129.24,SL_HIT,-1206.34,50.75,180,40.0,1.72,-1298.8,-18.98,152.05,0.0
2025-03-11,BANKNIFTY,PUT,0.61,15.0,28.4,20.6,10:20:00,10:50:00,47851.1,150.28,3,45,6,0,0.0,0.0,3,127.74,SL_HIT,-1194.39,155.66,180,40.0,1.7,-1391.75,-20.58,156.5,0.0
2025-03-17,BANKNIFTY,CALL,0.41,15.0,16.6,63.4,10:15:00,10:30:00,48401.7,214.97,2,30,3,0,0.0,0.0,2,182.72,SL_HIT,-1087.36,75.1,120,40.0,1.63,-1204.09,-18.67,214.97,0.0
2025-03-20,BANKNIFTY,CALL,0.44,15.0,61.3,76.4,09:40:00,10:15:00,49889.95,383.79,2,30,7,0,0.0,0.0,2,368.57,NO_MOVE,-576.57,293.07,120,40.0,3.3,-912.94,-7.93,383.79,0.0
2025-04-08,BANKNIFTY,CALL,0.81,15.0,40.1,70.1,09:50:00,09:55:00,50456.1,158.46,3,45,1,0,0.0,0.0,3,134.69,SL_HIT,-1249.61,28.52,180,40.0,1.79,-1319.92,-18.51,158.46,0.0
