date,index,setup,direction,bias,gap_pct,signal_time,entry_time,entry_spot,entry_premium,sl_spot,tp_spot,lots,lot_size,quantity,partial1_lots,partial1_px,partial2_lots,partial2_px,exit_premium,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-01-03,BANKNIFTY,VWAP,PUT,NEUTRAL,0.18,12:20:00,12:25:00,47598.95,395.5,47688.85,0.0,2,15,30,0,0.0,0,0.0,336.41,-1832.74,-1875.76,-15.77,SL hit,7
2024-01-10,BANKNIFTY,VWAP,PUT,BEARISH,-0.333,12:40:00,12:45:00,47242.85,392.55,47307.3,0.0,3,15,45,0,0.0,0,0.0,327.45,-3019.68,-3064.08,-17.3,SL hit,7
2024-01-16,BANKNIFTY,VWAP,PUT,NEUTRAL,-0.236,11:40:00,11:45:00,48198.95,151.37,48259.25,0.0,3,15,45,0,0.0,0,0.0,99.59,-2420.04,-2461.37,-35.9,SL hit,1
2024-01-16,BANKNIFTY,VWAP,PUT,NEUTRAL,-0.236,12:05:00,12:10:00,48205.4,151.39,48292.75,0.0,2,15,30,0,0.0,0,0.0,128.36,-750.98,-792.13,-17.33,Hard SL,1
2024-01-17,BANKNIFTY,ORB,PUT,BEARISH,-3.196,11:40:00,11:45:00,46364.75,385.25,46737.83,45516.63,1,15,15,0,0.0,0,0.0,480.57,1399.85,1357.69,23.43,Hard close (15:15),7
2024-01-18,BANKNIFTY,ORB,CALL,BEARISH,-1.282,11:55:00,12:00:00,46012.6,353.96,45706.08,46414.2,1,15,15,0,0.0,0,0.0,319.58,-545.69,-587.13,-11.03,Trail SL,6
2024-01-19,BANKNIFTY,VWAP,PUT,BULLISH,0.746,11:05:00,11:10:00,45959.65,322.75,46136.75,0.0,1,15,15,1,420.6189821940439,0,0.0,420.62,1438.03,1396.15,28.75,Partial 1 + close,5
2024-01-20,BANKNIFTY,VWAP,CALL,BULLISH,0.554,12:55:00,13:00:00,46058.55,289.3,45864.4,0.0,1,15,15,0,0.0,0,0.0,283.58,-115.78,-157.05,-3.61,NO_MOVE_EXTENDED,4
2024-01-23,BANKNIFTY,ORB,PUT,BULLISH,0.839,10:35:00,10:40:00,45720.7,143.59,46320.43,45652.18,1,15,15,0,0.0,0,0.0,124.65,-314.17,-354.72,-16.36,Trail SL,1
2024-01-23,BANKNIFTY,ORB,PUT,BULLISH,0.839,11:35:00,11:40:00,45567.5,143.11,46320.43,45652.18,1,15,15,0,0.0,0,0.0,254.94,1647.41,1606.27,74.31,TP hit,1
2024-01-24,BANKNIFTY,VWAP,PUT,BEARISH,-1.149,11:20:00,11:25:00,45127.2,374.97,45323.75,0.0,1,15,15,0,0.0,0,0.0,417.66,610.29,568.41,10.08,Trail SL,7
2024-01-29,BANKNIFTY,VWAP,PUT,BULLISH,0.407,11:20:00,11:25:00,45351.25,201.42,45474.7,0.0,1,15,15,0,0.0,0,0.0,140.96,-936.84,-977.47,-32.19,Hard SL,2
2024-01-31,BANKNIFTY,ORB,CALL,NEUTRAL,-0.053,10:30:00,10:35:00,46046.5,382.6,45348.47,46061.45,1,15,15,0,0.0,0,0.0,394.79,152.92,111.15,1.93,TP hit,7
2024-01-31,BANKNIFTY,ORB,CALL,NEUTRAL,-0.053,11:05:00,11:10:00,46099.45,383.04,45348.47,46061.45,1,15,15,0,0.0,0,0.0,369.47,-233.49,-275.14,-4.78,TP hit,7
2024-02-01,BANKNIFTY,VWAP,PUT,BULLISH,0.415,11:15:00,11:20:00,45890.55,353.02,46048.95,0.0,1,15,15,0,0.0,0,0.0,285.59,-1041.43,-1082.71,-20.39,Hard SL,6
2024-02-02,BANKNIFTY,VWAP,PUT,BULLISH,0.782,12:25:00,12:30:00,46497.05,326.52,46698.3,0.0,1,15,15,1,434.0006313969594,0,0.0,434.0,1582.21,1540.26,31.35,Partial 1 + close,5
2024-02-06,BANKNIFTY,PDH_PDL,CALL,NEUTRAL,0.294,11:30:00,11:35:00,45749.3,143.68,45571.75,45676.21,1,15,15,0,0.0,0,0.0,133.21,-187.12,-227.72,-10.49,VWAP TP,1
2024-02-06,BANKNIFTY,PDH_PDL,CALL,NEUTRAL,0.294,12:30:00,12:35:00,45718.55,143.58,45571.75,45696.13,1,15,15,0,0.0,0,0.0,152.81,108.39,67.7,3.12,VWAP TP,1
2024-02-08,BANKNIFTY,PDH_PDL,PUT,NEUTRAL,0.125,10:40:00,10:45:00,45854.05,352.74,46107.08,46002.11,1,15,15,0,0.0,0,0.0,313.18,-623.41,-664.82,-12.53,VWAP TP,6
2024-02-12,BANKNIFTY,ORB,PUT,NEUTRAL,-0.092,11:05:00,11:10:00,45323.95,201.3,45556.24,45061.88,1,15,15,1,307.60687835218914,0,0.0,307.61,1564.6,1523.22,50.2,Partial 1 + close,2
