date,direction,gap_pct,entry_premium,entry_spot,lots,candles_held_5min,partial1_lots,partial1_premium,partial2_lots,partial2_premium,final_premium,final_reason,highest_premium,trailing_sl_at_exit,adx_val,rsi_val,range_ratio,ema9,gross_pnl,theta_cost,slippage_cost,brokerage,stt_cost,net_pnl,net_pnl_pct
2024-01-09,CALL,0.51,152.0,47920.5,1,1,0,0.0,0,0.0,132.26,HARD_SL,152.0,0.0,28.6,68.7,1.63,47852.3,-296.09,0.61,22.5,40.0,0.6,-359.19,-0.36
2024-01-10,PUT,-0.33,149.82,47227.15,1,2,0,0.0,0,0.0,156.08,NO_MOVE,157.58,0.0,20.1,41.5,3.89,47262.8,93.95,1.2,22.5,40.0,0.7,30.75,0.03
2024-01-17,PUT,-3.2,149.08,46990.5,1,7,0,0.0,0,0.0,305.09,TREND_CHECK_EXIT,306.59,260.6,47.6,18.7,1.41,47174.0,2340.27,4.17,22.5,40.0,1.37,2276.4,2.28
2024-01-24,PUT,-1.15,142.06,44756.3,1,2,0,0.0,0,0.0,123.51,HARD_SL,163.6,139.06,23.2,32.5,1.58,44980.4,-278.21,1.14,22.5,40.0,0.56,-341.26,-0.34
2024-01-29,CALL,0.41,203.2,45413.7,1,1,0,0.0,0,0.0,177.32,HARD_SL,203.2,0.0,39.4,86.8,1.52,45127.1,-388.26,0.81,22.5,40.0,0.8,-451.56,-0.45
2024-02-01,CALL,0.42,356.53,46151.3,1,1,0,0.0,0,0.0,312.25,HARD_SL,356.53,0.0,22.2,59.9,2.54,45977.2,-664.25,1.43,22.5,40.0,1.41,-728.16,-0.73
2024-02-02,CALL,0.78,330.25,46813.4,1,2,0,0.0,0,0.0,315.52,NO_MOVE,330.25,0.0,20.8,74.6,3.17,46608.8,-220.95,2.64,22.5,40.0,1.42,-284.87,-0.28
2024-02-14,PUT,-0.89,143.0,45055.7,1,1,0,0.0,0,0.0,124.34,HARD_SL,143.0,0.0,29.4,36.5,1.44,45123.4,-279.9,0.57,22.5,40.0,0.56,-342.96,-0.34
2024-02-16,CALL,0.41,327.61,46437.9,1,2,0,0.0,0,0.0,307.65,NO_MOVE,327.61,0.0,37.7,59.4,1.55,46403.5,-299.38,2.62,22.5,40.0,1.38,-363.27,-0.36
2024-02-21,CALL,0.5,149.88,47245.1,1,6,0,0.0,0,0.0,130.39,HARD_SL,192.2,163.37,34.3,68.6,1.79,47149.0,-292.28,3.6,22.5,40.0,0.59,-355.36,-0.36
