date,index,setup,direction,bias,gap_pct,signal_time,entry_time,entry_spot,entry_premium,sl_spot,tp_spot,lots,lot_size,quantity,partial1_lots,partial1_px,partial2_lots,partial2_px,exit_premium,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-01-05,NIFTY,VWAP,PUT,NEUTRAL,0.167,10:40:00,10:45:00,21705.35,75.14,21737.15,0.0,3,50,150,0,0.0,0,0.0,76.78,-53.54,-96.95,-0.85,NO_MOVE_EXTENDED,6
2024-01-08,NIFTY,ORB,PUT,NEUTRAL,0.175,11:05:00,11:10:00,21615.5,52.91,21687.83,21492.08,3,50,150,0,0.0,0,0.0,58.52,541.93,499.34,6.18,Trail SL,3
2024-01-18,NIFTY,ORB,CALL,BEARISH,-0.756,11:55:00,12:00:00,21510.8,80.43,21442.09,21635.95,2,50,100,0,0.0,0,0.0,66.27,-1615.8,-1657.76,-20.36,Hard SL,7
2024-01-24,NIFTY,ORB,CALL,NEUTRAL,-0.272,11:20:00,11:25:00,21350.9,30.17,21241.01,21507.95,3,50,150,0,0.0,0,0.0,18.19,-2096.75,-2137.52,-45.72,Hard SL,1
2024-01-24,NIFTY,VWAP,PUT,NEUTRAL,-0.272,11:25:00,11:30:00,21297.7,30.1,21358.75,0.0,3,50,150,0,0.0,0,0.0,29.95,-323.17,-364.47,-7.81,Trail SL,1
2024-01-25,NIFTY,VWAP,CALL,NEUTRAL,-0.028,11:35:00,11:40:00,21346.85,79.82,21282.85,0.0,3,50,150,0,0.0,0,0.0,66.65,-2274.9,-2317.86,-19.12,Hard SL,7
2024-01-29,NIFTY,ORB,CALL,NEUTRAL,0.292,10:35:00,10:40:00,21609.5,52.9,21522.7,21762.1,3,50,150,1,70.17688353493428,0,0.0,67.32,2005.89,1962.86,24.28,Trail SL,3
2024-01-30,NIFTY,VWAP,CALL,NEUTRAL,0.142,11:55:00,12:00:00,21731.4,43.43,21707.35,0.0,3,50,150,0,0.0,0,0.0,36.61,-1322.46,-1364.07,-20.47,SL hit,2
2024-01-31,NIFTY,ORB,CALL,NEUTRAL,-0.201,10:30:00,10:35:00,21628.25,30.56,21543.31,21786.22,3,50,150,1,46.12930509374485,1,46.475272344575465,45.53,2022.87,1980.84,41.84,Trail SL,1
2024-02-01,NIFTY,VWAP,PUT,BULLISH,0.333,11:15:00,11:20:00,21720.95,81.22,21787.25,0.0,3,50,150,0,0.0,0,0.0,78.95,-641.08,-684.59,-5.55,Hard close (15:15),7
